X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
BR,-59%,-5%,-59%,-52%,-36%,+16%
Federal District,-54%,+0%,-50%,-46%,-38%,+16%
State of Acre,-55%,-7%,-46%,-72%,-27%,+10%
State of Alagoas,-62%,-14%,-59%,-69%,-34%,+13%
State of Amapá,-59%,-5%,-46%,-77%,-35%,+14%
State of Amazonas,-63%,-19%,-63%,-50%,-41%,+18%
State of Bahia,-64%,-27%,-64%,-68%,-40%,+17%
State of Ceará,-72%,-24%,-66%,-66%,-44%,+18%
State of Espírito Santo,-56%,-5%,-65%,-57%,-30%,+14%
State of Goiás,-56%,-4%,-32%,-39%,-35%,+13%
State of Maranhão,-57%,-10%,-46%,-68%,-34%,+13%
State of Mato Grosso,-43%,+0%,-30%,-43%,-24%,+11%
State of Mato Grosso do Sul,-40%,+3%,-30%,-42%,-23%,+11%
State of Minas Gerais,-54%,+2%,-33%,-44%,-32%,+14%
State of Paraná,-54%,+9%,-51%,-46%,-33%,+15%
State of Paraíba,-63%,-11%,-63%,-57%,-35%,+15%
State of Pará,-50%,-7%,-49%,-57%,-25%,+14%
State of Pernambuco,-65%,-18%,-62%,-53%,-40%,+17%
State of Piauí,-72%,-31%,-42%,-80%,-46%,+18%
State of Rio Grande do Norte,-59%,-17%,-62%,-56%,-34%,+16%
State of Rio Grande do Sul,-56%,+2%,-57%,-49%,-36%,+17%
State of Rio de Janeiro,-63%,-10%,-77%,-54%,-40%,+18%
State of Rondônia,-44%,-2%,-27%,-64%,-23%,+11%
State of Roraima,-54%,-14%,-47%,-72%,-28%,+13%
State of Santa Catarina,-56%,-8%,-73%,-62%,-34%,+16%
State of Sergipe,-59%,-14%,-59%,-72%,-36%,+14%
State of São Paulo,-63%,-4%,-57%,-53%,-39%,+18%
State of Tocantins,-51%,-17%,-27%,-64%,-26%,+11%
