X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
EE,-57%,-20%,+11%,-43%,-35%,+10%
Harju County,-60%,-25%,+1%,-51%,-38%,+11%
Ida-Viru County,-47%,-16%,-39%,-27%,-29%,+11%
Järva County,-37%,-14%,N/A,N/A,-78%,N/A
Jõgeva County,-38%,-14%,N/A,N/A,-74%,N/A
Lääne County,-48%,-28%,N/A,N/A,-78%,N/A
Lääne-Viru County,-43%,-11%,N/A,-30%,-28%,+5%
Pärnu County,-59%,-17%,-10%,-36%,-34%,+15%
Põlva County,-77%,-12%,N/A,N/A,-75%,N/A
Rapla County,-70%,-11%,N/A,N/A,-82%,N/A
Saare County,-84%,-41%,N/A,-65%,-79%,N/A
Tartu County,-61%,-23%,+6%,-40%,-39%,+29%
Valga County,-46%,-23%,N/A,N/A,-78%,N/A
Viljandi County,-53%,-15%,N/A,-35%,-26%,N/A
Võru County,-75%,-5%,N/A,N/A,-78%,N/A
