X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
FI,-51%,-17%,+89%,-54%,-30%,+8%
Central Finland,-51%,-20%,+96%,-65%,-31%,+8%
Central Ostrobothnia,-43%,-1%,N/A,-60%,-23%,+11%
Kainuu,-53%,-21%,+9%,-76%,-26%,+11%
Kymenlaakso,-54%,-13%,+68%,-67%,-20%,+7%
Lapland,-66%,-30%,+131%,-67%,-37%,+5%
North Karelia,-52%,-18%,+73%,-63%,-31%,+22%
Northern Ostrobothnia,-54%,-21%,+140%,-41%,-30%,+6%
Northern Savonia,-57%,-16%,+79%,-41%,-29%,+7%
Ostrobothnia,-47%,-15%,+80%,-38%,-23%,+4%
Pirkanmaa,-53%,-18%,+82%,-50%,-29%,+7%
Päijänne Tavastia,-55%,-20%,+104%,-45%,-29%,+8%
Satakunta,-47%,-13%,+131%,-29%,-23%,+6%
South Karelia,-56%,-22%,+74%,-61%,-31%,+11%
Southern Ostrobothnia,-48%,-15%,+47%,-38%,-22%,+6%
Southern Savonia,-53%,-13%,+70%,-48%,-28%,+23%
Southwest Finland,-52%,-18%,+92%,-36%,-27%,+7%
Tavastia Proper,-48%,-22%,+74%,-58%,-23%,+7%
Uusimaa,-49%,-12%,+87%,-62%,-34%,+10%
