X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
FR,-86%,-39%,-74%,-79%,-55%,+23%
Auvergne-Rhône-Alpes,-86%,-42%,-71%,-83%,-54%,+24%
Bourgogne-Franche-Comté,-86%,-44%,-64%,-83%,-51%,+22%
Brittany,-86%,-40%,-65%,-78%,-49%,+23%
Centre-Val de Loire,-84%,-42%,-73%,-82%,-53%,+22%
Corsica,-85%,-38%,-65%,-71%,-51%,+19%
Grand Est,-85%,-41%,-67%,-79%,-55%,+22%
Hauts-de-France,-85%,-36%,-71%,-78%,-53%,+22%
Normandy,-86%,-38%,-70%,-82%,-53%,+22%
Nouvelle-Aquitaine,-85%,-38%,-70%,-79%,-51%,+23%
Occitanie,-85%,-40%,-68%,-80%,-53%,+22%
Pays de la Loire,-86%,-41%,-71%,-82%,-52%,+24%
Provence-Alpes-Côte d'Azur,-84%,-36%,-75%,-78%,-55%,+22%
Île-de-France,-87%,-38%,-87%,-79%,-63%,+25%
