X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
ID,-43%,-24%,-46%,-59%,-30%,+17%
Aceh,-24%,-15%,-31%,-50%,-19%,+10%
Bali,-46%,-35%,-65%,-73%,-40%,+18%
Bangka Belitung Islands,-44%,-22%,-39%,-64%,-20%,+13%
Banten,-44%,-23%,-37%,-66%,-33%,+19%
Bengkulu,-36%,-22%,-40%,-55%,-25%,+12%
Central Java,-33%,-19%,-44%,-56%,-26%,+15%
Central Kalimantan,-42%,-27%,-47%,-47%,-20%,+12%
Central Sulawesi,-42%,-28%,-18%,-58%,-24%,+14%
East Java,-34%,-19%,-47%,-56%,-28%,+15%
East Kalimantan,-46%,-22%,-44%,-60%,-18%,+13%
East Nusa Tenggara,-45%,-27%,-28%,-53%,-32%,+15%
Gorontalo,-48%,-31%,-41%,-49%,-34%,+18%
Jakarta,-63%,-34%,-61%,-69%,-43%,+22%
Jambi,-34%,-19%,-38%,-49%,-24%,+12%
Lampung,-32%,-15%,-37%,-47%,-23%,+12%
Maluku,-41%,-23%,-21%,-39%,-30%,+12%
North Kalimantan,-43%,-20%,-42%,-55%,-24%,+13%
North Maluku,-37%,-15%,-28%,-50%,-18%,+11%
North Sulawesi,-55%,-32%,-40%,-59%,-29%,+18%
North Sumatra,-43%,-27%,-46%,-53%,-34%,+18%
Papua,-47%,-34%,-40%,-54%,-21%,+14%
Riau,-35%,-23%,-19%,-48%,-19%,+13%
Riau Islands,-43%,-19%,-43%,-67%,-25%,+17%
South East Sulawesi,-63%,-48%,-38%,-60%,-40%,+20%
South Kalimantan,-42%,-28%,-49%,-57%,-22%,+16%
South Sulawesi,-55%,-36%,-43%,-61%,-36%,+18%
South Sumatra,-41%,-23%,-32%,-50%,-27%,+14%
Special Region of Yogyakarta,-52%,-36%,-68%,-73%,-33%,+18%
West Java,-43%,-23%,-42%,-60%,-31%,+18%
West Kalimantan,-52%,-30%,-42%,-55%,-26%,+15%
West Nusa Tenggara,-40%,-21%,-38%,-58%,-31%,+14%
West Papua,-44%,-31%,-40%,-73%,-28%,+16%
West Sulawesi,-46%,-33%,-62%,-62%,-22%,+16%
West Sumatra,-39%,-22%,-52%,-54%,-33%,+15%
