X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
JP,-30%,+4%,+3%,-48%,-22%,+12%
Aichi,-28%,+4%,+7%,-52%,-20%,+12%
Akita,-10%,+6%,+52%,-30%,-14%,+7%
Aomori,-19%,+2%,+2%,-33%,-13%,+7%
Chiba,-34%,+3%,+17%,-53%,-26%,+13%
Ehime,-21%,+5%,+15%,-35%,-13%,+8%
Fukui,-33%,+2%,+19%,-44%,-23%,+12%
Fukuoka,-33%,+0%,-6%,-60%,-26%,+13%
Fukushima,-18%,+3%,+46%,-38%,-17%,+9%
Gifu,-31%,+4%,-12%,-48%,-21%,+12%
Gunma,-23%,-1%,+7%,-47%,-17%,+10%
Hiroshima,-29%,+2%,-9%,-48%,-18%,+11%
Hokkaido,-17%,+3%,-8%,-39%,-12%,+7%
Hyogo,-31%,+7%,+7%,-51%,-24%,+12%
Ibaraki,-20%,+2%,+8%,-48%,-17%,+10%
Ishikawa,-25%,+7%,-2%,-50%,-20%,+10%
Iwate,-11%,+7%,+36%,-33%,-13%,+7%
Kagawa,-19%,+6%,+9%,-39%,-15%,+7%
Kagoshima,-13%,+7%,+10%,-34%,-9%,+6%
Kanagawa,-37%,+4%,+10%,-52%,-30%,+15%
Kochi,-29%,-1%,-9%,-32%,-18%,+10%
Kumamoto,-20%,+4%,-1%,-34%,-14%,+9%
Kyoto,-32%,+3%,-11%,-55%,-22%,+11%
Mie,-20%,+6%,-12%,-49%,-14%,+9%
Miyagi,-30%,+3%,+30%,-52%,-20%,+10%
Miyazaki,-17%,+4%,+0%,-36%,-13%,+8%
Nagano,-27%,+0%,+4%,-50%,-16%,+10%
Nagasaki,-18%,+5%,-6%,-40%,-13%,+8%
Nara,-17%,+12%,+5%,-44%,-19%,+9%
Niigata,-13%,+3%,+39%,-42%,-18%,+8%
Oita,-20%,+2%,-9%,-36%,-16%,+9%
Okayama,-16%,+5%,+21%,-41%,-16%,+8%
Okinawa,-34%,-6%,-38%,-54%,-16%,+12%
Osaka,-40%,+3%,+3%,-56%,-28%,+13%
Saga,-18%,+1%,-17%,-42%,-14%,+10%
Saitama,-29%,+6%,+14%,-54%,-26%,+13%
Shiga,-20%,+8%,+33%,-48%,-17%,+9%
Shimane,-21%,+7%,-4%,-31%,-16%,+8%
Shizuoka,-26%,+5%,+0%,-53%,-18%,+10%
Tochigi,-26%,+1%,+0%,-50%,-16%,+10%
Tokushima,-18%,+6%,+13%,-30%,-11%,+7%
Tokyo,-52%,+1%,-6%,-59%,-37%,+17%
Tottori,-19%,+9%,+2%,-38%,-14%,+7%
Toyama,-25%,+6%,+22%,-42%,-19%,+10%
Wakayama,-22%,+6%,+12%,-39%,-14%,+8%
Yamagata,-24%,+0%,+40%,-45%,-23%,+11%
Yamaguchi,-16%,+5%,+6%,-33%,-15%,+8%
Yamanashi,-26%,-1%,-18%,-52%,-17%,+11%
