X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
KE,-47%,-33%,-23%,-41%,-29%,+21%
Baringo County,N/A,N/A,N/A,N/A,-43%,N/A
Bomet County,-32%,-17%,N/A,N/A,-13%,N/A
Bungoma County,-1%,-7%,+16%,-30%,-16%,N/A
Busia County,-26%,-27%,N/A,N/A,-7%,N/A
Embu County,-37%,-14%,N/A,-56%,-21%,N/A
Garissa County,N/A,N/A,N/A,N/A,+0%,N/A
Homa Bay County,-24%,-19%,N/A,+13%,-2%,N/A
Kajiado County,-37%,-18%,-35%,-27%,-23%,+23%
Kakamega County,-32%,-19%,-49%,-26%,-13%,N/A
Kericho County,-23%,-28%,N/A,N/A,-19%,N/A
Kiambu County,-38%,-31%,-14%,-35%,-29%,+24%
Kilifi County,-52%,-47%,-51%,-42%,-33%,+17%
Kirinyaga County,-7%,-31%,+9%,N/A,-11%,N/A
Kisii County,-26%,-35%,N/A,-35%,-20%,N/A
Kisumu County,-51%,-13%,-48%,-50%,-20%,+17%
Kitui County,-21%,-26%,+2%,-53%,-15%,N/A
Kwale County,-55%,-21%,N/A,N/A,-33%,N/A
Laikipia County,-30%,-20%,N/A,-52%,-20%,N/A
Machakos County,-51%,+13%,-47%,-39%,-22%,+22%
Makueni County,-7%,-18%,N/A,-21%,-10%,N/A
Meru County,-20%,-22%,N/A,-24%,-19%,+2%
Migori County,-7%,+4%,N/A,-51%,-8%,N/A
Mombasa County,-55%,-47%,-49%,-55%,-33%,+22%
Muranga County,-9%,-21%,N/A,-75%,-19%,N/A
Nairobi County,-54%,-39%,-46%,-48%,-35%,+25%
Nakuru County,-38%,-35%,-37%,-48%,-22%,+18%
Nandi County,-24%,N/A,N/A,N/A,-20%,N/A
Narok County,-50%,-32%,+30%,-42%,-17%,N/A
Nyandarua County,-29%,N/A,N/A,N/A,-28%,N/A
Nyeri County,-35%,-41%,+28%,-13%,-25%,+3%
Siaya,-8%,-10%,N/A,N/A,-15%,N/A
Taita-Taveta County,-33%,N/A,N/A,N/A,-6%,N/A
Tharaka-Nithi County,-52%,N/A,N/A,N/A,-51%,N/A
Trans-Nzoia County,-3%,-32%,N/A,-17%,-15%,N/A
Turkana County,-25%,N/A,N/A,N/A,-15%,N/A
Uasin Gishu County,-34%,-45%,-21%,-50%,-23%,+15%
Vihiga County,-12%,N/A,N/A,-30%,-41%,N/A
Wajir County,-100%,N/A,N/A,N/A,N/A,N/A
