X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
LV,-39%,-6%,+22%,-33%,-31%,+7%
Aizkraukle Municipality,-27%,N/A,N/A,N/A,-71%,N/A
Aloja Municipality,-100%,N/A,N/A,N/A,N/A,N/A
Alūksne Municipality,N/A,N/A,N/A,N/A,-75%,N/A
Babīte Municipality,-26%,N/A,N/A,N/A,-81%,N/A
Baldone Municipality,N/A,N/A,N/A,N/A,-82%,N/A
Balvi Municipality,N/A,N/A,N/A,N/A,-72%,N/A
Bauska Municipality,-44%,-14%,N/A,N/A,-71%,N/A
Burtnieki Municipality,-18%,N/A,N/A,N/A,-77%,N/A
Carnikava Municipality,N/A,N/A,N/A,N/A,-82%,N/A
City of Liepāja,-36%,+6%,+11%,-26%,-29%,+12%
Cēsis Municipality,-49%,-14%,N/A,N/A,-77%,N/A
Daugavpils,-40%,-18%,-46%,-51%,-33%,+8%
Daugavpils Municipality,N/A,N/A,N/A,N/A,-69%,N/A
Dobele Municipality,-38%,N/A,N/A,N/A,-73%,N/A
Engure Municipality,N/A,N/A,N/A,N/A,-82%,N/A
Garkalne Municipality,N/A,N/A,N/A,N/A,-86%,N/A
Grobiņa Municipality,N/A,N/A,N/A,N/A,-75%,N/A
Gulbene Municipality,-48%,-8%,N/A,N/A,-69%,N/A
Iecava Municipality,N/A,N/A,N/A,N/A,-70%,N/A
Ikšķile Municipality,-25%,-2%,N/A,N/A,-82%,N/A
Inčukalns Municipality,N/A,N/A,N/A,N/A,-76%,N/A
Jelgava,-31%,-8%,N/A,-49%,-22%,+0%
Jelgava Municipality,N/A,N/A,N/A,N/A,-76%,N/A
Jēkabpils,-25%,-20%,N/A,N/A,-68%,N/A
Jēkabpils Municipality,-100%,N/A,N/A,N/A,N/A,N/A
Jūrmala,-27%,-8%,-2%,-10%,-28%,N/A
Kocēni Municipality,-11%,N/A,N/A,N/A,-78%,N/A
Krāslava Municipality,-100%,N/A,N/A,N/A,N/A,N/A
Kuldīga Municipality,-15%,-9%,N/A,N/A,-71%,N/A
Lielvārde Municipality,-35%,N/A,N/A,N/A,-73%,N/A
Limbaži Municipality,-36%,N/A,N/A,N/A,-81%,N/A
Madona Municipality,-45%,-18%,N/A,N/A,-69%,N/A
Mārupe Municipality,-56%,-15%,N/A,-93%,-84%,N/A
Ogre Municipality,-35%,-16%,N/A,N/A,-78%,N/A
Olaine Municipality,-7%,N/A,N/A,N/A,-78%,N/A
Ozolnieki Municipality,-100%,N/A,N/A,N/A,-84%,N/A
Preiļi Municipality,-31%,N/A,N/A,N/A,N/A,N/A
Priekuļi Municipality,N/A,N/A,N/A,N/A,-74%,N/A
Riga,-52%,-20%,-32%,-47%,-38%,+7%
Ropaži Municipality,N/A,N/A,N/A,N/A,-46%,N/A
Rēzekne,-36%,-27%,N/A,N/A,-71%,N/A
Rēzekne Municipality,N/A,N/A,N/A,N/A,-70%,N/A
Salacgrīva Municipality,-71%,N/A,N/A,N/A,N/A,N/A
Salaspils Municipality,+0%,-4%,N/A,N/A,-34%,N/A
Saldus Municipality,-20%,-21%,+10%,N/A,-77%,N/A
Saulkrasti Municipality,N/A,N/A,N/A,N/A,-51%,N/A
Sigulda Municipality,-29%,-29%,-24%,N/A,-80%,N/A
Smiltene Municipality,-22%,N/A,N/A,N/A,-76%,N/A
Stopiņi Municipality,N/A,-9%,N/A,N/A,-87%,N/A
Talsi Municipality,-47%,-10%,N/A,N/A,-71%,N/A
Tukums Municipality,-25%,-4%,N/A,N/A,-76%,N/A
Valmiera,-52%,-23%,N/A,N/A,-72%,N/A
Ventspils,-35%,-4%,N/A,N/A,-33%,N/A
Ventspils Municipality,N/A,N/A,N/A,N/A,-71%,N/A
Ādaži Municipality,-21%,-30%,N/A,N/A,-76%,N/A
Ķegums Municipality,-16%,N/A,N/A,N/A,N/A,N/A
Ķekava Municipality,N/A,N/A,N/A,N/A,-85%,N/A
