X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
PT,-78%,-40%,-73%,-77%,-58%,+26%
Aveiro District,-77%,-38%,-74%,-80%,-57%,+28%
Azores,-76%,-36%,-57%,-85%,-48%,+28%
Beja District,-81%,-48%,-63%,N/A,-45%,+25%
Braga,-76%,-35%,-76%,-70%,-57%,+29%
Bragança District,-79%,-47%,-50%,-65%,-54%,+18%
Castelo Branco District,-76%,-42%,-66%,-73%,-52%,+29%
Coimbra District,-77%,-39%,-83%,-78%,-54%,+26%
Faro District,-79%,-45%,-75%,-83%,-57%,+25%
Guarda District,-79%,-43%,-77%,-81%,-49%,+25%
Leiria District,-79%,-40%,-81%,-79%,-55%,+27%
Lisbon,-80%,-41%,-73%,-79%,-62%,+27%
Madeira,-85%,-50%,-81%,-78%,-66%,+29%
Portalegre District,-82%,-48%,-66%,N/A,-46%,+20%
Porto District,-79%,-38%,-76%,-77%,-60%,+29%
Santarém District,-79%,-42%,-68%,-83%,-50%,+24%
Setubal,-77%,-39%,-65%,-72%,-59%,+26%
Viana do Castelo District,-78%,-50%,-74%,-72%,-54%,+27%
Vila Real District,-80%,-48%,-65%,-63%,-51%,+31%
Viseu District,-76%,-42%,-56%,-52%,-52%,+24%
Évora District,-80%,-46%,-80%,-85%,-52%,+31%
