Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US,-45%,-7%,-16%,-49%,-38%,+14%
Alabama,-39%,+3%,+11%,-35%,-29%,+10%
Alaska,-41%,-4%,+36%,-52%,-32%,+10%
Arizona,-43%,-14%,-42%,-45%,-36%,+14%
Arkansas,-35%,+1%,+1%,-34%,-26%,+10%
California,-48%,-14%,-46%,-53%,-40%,+18%
Colorado,-46%,-11%,-2%,-53%,-40%,+14%
Connecticut,-44%,-9%,+76%,-54%,-40%,+15%
Delaware,-41%,-16%,+26%,-48%,-37%,+14%
District of Columbia,-69%,-28%,-65%,-69%,-48%,+17%
Florida,-49%,-20%,-54%,-65%,-40%,+15%
Georgia,-40%,-5%,+3%,-53%,-36%,+13%
Hawaii,-55%,-29%,-66%,-74%,-47%,+18%
Idaho,-40%,+0%,+12%,-35%,-34%,+11%
Illinois,-46%,-1%,+10%,-46%,-38%,+14%
Indiana,-40%,-2%,+70%,-29%,-36%,+12%
Iowa,-44%,+7%,+40%,-28%,-28%,+12%
Kansas,-41%,-3%,+97%,-23%,-31%,+11%
Kentucky,-39%,+3%,+60%,-36%,-33%,+10%
Louisiana,-45%,-2%,-35%,-54%,-36%,+14%
Maine,-43%,-2%,-16%,-55%,-33%,+10%
Maryland,-43%,-14%,+24%,-49%,-39%,+15%
Massachusetts,-49%,-12%,+33%,-64%,-44%,+16%
Michigan,-58%,-15%,+59%,-51%,-45%,+16%
Minnesota,-44%,-2%,+50%,-51%,-36%,+14%
Mississippi,-35%,+1%,-12%,-38%,-32%,+11%
Missouri,-44%,+1%,+16%,-36%,-32%,+12%
Montana,-55%,-11%,-51%,-46%,-39%,+15%
Nebraska,-39%,+4%,+52%,-21%,-29%,+11%
Nevada,-45%,-13%,-43%,-55%,-53%,+16%
New Hampshire,-42%,-7%,+4%,-51%,-37%,+13%
New Jersey,-61%,-3%,-12%,-65%,-47%,+18%
New Mexico,-46%,-10%,-22%,-36%,-36%,+14%
New York,-62%,-4%,-12%,-65%,-48%,+18%
North Carolina,-40%,-5%,+20%,-49%,-35%,+11%
North Dakota,-48%,+1%,-18%,-43%,-28%,+15%
Ohio,-41%,-2%,+82%,-28%,-37%,+12%
Oklahoma,-38%,-1%,-8%,-27%,-32%,+12%
Oregon,-45%,-7%,+16%,-41%,-36%,+12%
Pennsylvania,-47%,-12%,+19%,-50%,-40%,+15%
Rhode Island,-45%,-4%,+45%,-57%,-40%,+15%
South Carolina,-41%,-2%,-24%,-45%,-34%,+11%
South Dakota,-47%,+1%,-16%,-42%,-31%,+15%
Tennessee,-40%,+2%,+11%,-36%,-33%,+10%
Texas,-45%,-14%,-54%,-49%,-38%,+16%
Utah,-42%,-4%,+28%,-43%,-34%,+12%
Vermont,-54%,-23%,-4%,-64%,-44%,+15%
Virginia,-40%,-9%,+17%,-49%,-36%,+13%
Washington,-47%,-10%,+3%,-50%,-41%,+14%
West Virginia,-38%,-5%,+12%,-39%,-31%,+10%
Wisconsin,-47%,-2%,+67%,-34%,-33%,+13%
Wyoming,-41%,-2%,-25%,-15%,-30%,+12%
