X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Florida,-49%,-20%,-54%,-65%,-40%,+15%
Alachua County,-51%,-19%,-39%,-49%,-32%,+14%
Baker County,-27%,-6%,N/A,-60%,-20%,-3%
Bay County,-43%,-13%,-18%,-54%,-29%,+11%
Bradford County,-27%,+21%,N/A,N/A,-26%,+0%
Brevard County,-44%,-17%,-32%,-46%,-38%,+13%
Broward County,-52%,-23%,-69%,-75%,-43%,+20%
Calhoun County,-49%,-14%,N/A,N/A,-41%,N/A
Charlotte County,-50%,-21%,-49%,-43%,-39%,+13%
Citrus County,-41%,+3%,-43%,N/A,-33%,+11%
Clay County,-33%,-1%,-22%,N/A,-33%,+12%
Collier County,-55%,-25%,-70%,-55%,-44%,+17%
Columbia County,-44%,+12%,-42%,-46%,-23%,+10%
DeSoto County,-42%,-5%,-37%,N/A,-16%,+11%
Dixie County,-34%,-6%,N/A,N/A,-23%,N/A
Duval County,-40%,-8%,-45%,-41%,-35%,+13%
Escambia County,-41%,-5%,-11%,-44%,-31%,+11%
Flagler County,-43%,+1%,-55%,N/A,-39%,+13%
Franklin County,-83%,-23%,-45%,N/A,-31%,N/A
Gadsden County,-27%,+5%,N/A,-44%,-22%,+20%
Gilchrist County,-40%,-12%,-44%,N/A,-28%,N/A
Glades County,-62%,N/A,-65%,-29%,-23%,N/A
Gulf County,-77%,-17%,N/A,N/A,-24%,N/A
Hamilton County,-33%,-3%,N/A,-48%,-39%,N/A
Hardee County,-38%,-17%,-34%,N/A,-15%,N/A
Hendry County,-34%,-4%,-52%,N/A,-25%,+13%
Hernando County,-37%,-10%,-41%,-26%,-33%,+12%
Highlands County,-45%,-15%,-57%,N/A,-27%,+11%
Hillsborough County,-49%,-19%,-57%,-71%,-41%,+16%
Holmes County,-43%,-19%,N/A,N/A,-20%,N/A
Indian River County,-48%,-24%,-48%,-54%,-37%,+14%
Jackson County,-31%,-4%,-24%,-41%,-22%,+14%
Jefferson County,-55%,-13%,N/A,N/A,-31%,N/A
Lafayette County,N/A,N/A,N/A,N/A,-39%,N/A
Lake County,-39%,-16%,-35%,-53%,-37%,+14%
Lee County,-54%,-25%,-69%,-76%,-41%,+15%
Leon County,-45%,-15%,-23%,-49%,-34%,+14%
Levy County,-33%,-4%,-36%,N/A,-24%,+15%
Liberty County,N/A,-14%,N/A,N/A,-43%,N/A
Madison County,-58%,-14%,N/A,-42%,-15%,N/A
Manatee County,-48%,-18%,-44%,-57%,-38%,+14%
Marion County,-41%,-11%,-49%,-39%,-33%,+11%
Martin County,-52%,-17%,-44%,-66%,-37%,+15%
Miami-Dade County,-58%,-33%,-81%,-71%,-48%,+22%
Monroe County,-74%,-46%,-77%,-77%,-53%,+17%
Nassau County,-40%,-6%,-42%,-68%,-33%,+11%
Okaloosa County,-41%,-9%,-28%,-50%,-33%,+12%
Okeechobee County,-41%,-7%,-29%,-85%,-26%,+17%
Orange County,-63%,-30%,-53%,-80%,-50%,+18%
Osceola County,-58%,-29%,-47%,-61%,-51%,+19%
Palm Beach County,-49%,-21%,-70%,-60%,-41%,+18%
Pasco County,-40%,-15%,-47%,-32%,-34%,+13%
Pinellas County,-49%,-18%,-35%,-42%,-39%,+15%
Polk County,-40%,-15%,-43%,-36%,-37%,+14%
Putnam County,-29%,+4%,-37%,N/A,-33%,+10%
Santa Rosa County,-23%,-2%,+0%,N/A,-28%,+12%
Sarasota County,-55%,-28%,-66%,-31%,-42%,+14%
Seminole County,-47%,-17%,-33%,-75%,-43%,+16%
St. Johns County,-49%,-2%,-63%,-46%,-42%,+14%
St. Lucie County,-40%,-9%,-24%,-53%,-34%,+14%
Sumter County,-54%,-16%,-41%,-46%,-36%,+11%
Suwannee County,-34%,+0%,-23%,-45%,-22%,+15%
Taylor County,-38%,+2%,N/A,N/A,-22%,N/A
Union County,-42%,-11%,N/A,N/A,-42%,N/A
Volusia County,-44%,-13%,-32%,-42%,-38%,+12%
Wakulla County,-22%,-17%,-10%,N/A,-24%,+17%
Walton County,-50%,-23%,-49%,-34%,-31%,+10%
Washington County,-31%,+8%,N/A,N/A,-28%,N/A
