Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Georgia,-40%,-5%,+3%,-53%,-36%,+13%
Appling County,-44%,-20%,N/A,N/A,-16%,N/A
Atkinson County,-55%,+8%,N/A,N/A,-37%,N/A
Bacon County,-21%,-27%,N/A,N/A,-39%,N/A
Baldwin County,-38%,-11%,N/A,N/A,-31%,+16%
Banks County,-39%,N/A,N/A,N/A,-19%,N/A
Barrow County,-32%,+2%,N/A,N/A,-31%,+12%
Bartow County,-41%,+7%,+126%,-28%,-33%,+10%
Ben Hill County,-41%,+1%,N/A,N/A,-20%,N/A
Berrien County,-42%,-13%,N/A,N/A,-27%,N/A
Bibb County,-44%,-3%,-6%,-31%,-30%,+11%
Bleckley County,-46%,+8%,N/A,N/A,-52%,N/A
Brantley County,-69%,-7%,N/A,N/A,-27%,N/A
Brooks County,-50%,-16%,N/A,N/A,-18%,N/A
Bryan County,-44%,-2%,-19%,-39%,-36%,+24%
Bulloch County,-42%,-14%,-31%,N/A,-31%,+21%
Burke County,-35%,-17%,-2%,N/A,-39%,N/A
Butts County,-47%,-9%,N/A,-24%,-30%,-1%
Camden County,-34%,+12%,-17%,-38%,-31%,+20%
Candler County,-67%,-28%,N/A,N/A,-38%,N/A
Carroll County,-32%,+5%,+0%,-26%,-27%,+10%
Catoosa County,-42%,+3%,-21%,N/A,-29%,+22%
Charlton County,-49%,-9%,N/A,N/A,-38%,N/A
Chatham County,-51%,-19%,-28%,-45%,-43%,+13%
Chattahoochee County,-61%,-38%,N/A,N/A,-51%,N/A
Chattooga County,-30%,-5%,N/A,N/A,-35%,N/A
Cherokee County,-36%,-7%,+134%,N/A,-35%,+13%
Clarke County,-51%,-14%,-25%,-25%,-39%,+13%
Clayton County,-29%,-4%,-10%,-82%,-36%,+14%
Clinch County,N/A,-2%,N/A,N/A,-32%,N/A
Cobb County,-47%,-8%,-34%,-29%,-41%,+15%
Coffee County,-40%,-1%,N/A,N/A,-27%,+18%
Colquitt County,-34%,+1%,N/A,N/A,-24%,+15%
Columbia County,-37%,+3%,+4%,-34%,-38%,+12%
Cook County,-36%,-2%,N/A,-42%,-24%,N/A
Coweta County,-44%,+1%,N/A,-21%,-34%,+13%
Crawford County,N/A,N/A,N/A,N/A,-24%,N/A
Crisp County,-32%,-21%,N/A,-20%,-22%,N/A
Dade County,-52%,-23%,N/A,-32%,-30%,N/A
Dawson County,-48%,-11%,+6%,N/A,-32%,+0%
DeKalb County,-43%,-7%,+26%,-36%,-43%,+16%
Decatur County,-23%,-12%,N/A,N/A,-26%,-3%
Dodge County,-42%,-18%,N/A,N/A,-23%,N/A
Dooly County,-59%,-28%,N/A,-40%,-40%,N/A
Dougherty County,-47%,-16%,-33%,-46%,-34%,+14%
Douglas County,-35%,-6%,+8%,-14%,-37%,+14%
Early County,-57%,-29%,N/A,N/A,-44%,N/A
Effingham County,-23%,+9%,N/A,N/A,-33%,+21%
Elbert County,-23%,-21%,N/A,N/A,-24%,N/A
Emanuel County,-36%,+5%,N/A,N/A,-17%,N/A
Evans County,-38%,-22%,N/A,N/A,-37%,N/A
Fannin County,-47%,-29%,+66%,N/A,-35%,N/A
Fayette County,-36%,-6%,+70%,N/A,-37%,+15%
Floyd County,-34%,+7%,+28%,N/A,-29%,+10%
Forsyth County,-41%,-22%,+68%,N/A,-38%,+15%
Franklin County,-52%,-13%,-17%,-38%,-30%,N/A
Fulton County,-54%,-15%,-38%,-49%,-44%,+16%
Gilmer County,-38%,-28%,N/A,N/A,-28%,+2%
Glynn County,-45%,-15%,-9%,-50%,-38%,+11%
Gordon County,-37%,+2%,N/A,-32%,-38%,+21%
Grady County,-42%,-13%,N/A,N/A,-25%,-1%
Greene County,-41%,-27%,N/A,N/A,-30%,N/A
Gwinnett County,-45%,-8%,+36%,-31%,-41%,+16%
Habersham County,-36%,+11%,N/A,N/A,-36%,+20%
Hall County,-36%,-8%,+85%,-17%,-34%,+12%
