Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Illinois,-46%,-1%,+10%,-46%,-38%,+14%
Adams County,-51%,-7%,N/A,-2%,-29%,+19%
Alexander County,N/A,N/A,N/A,N/A,-43%,N/A
Bond County,-39%,+2%,N/A,-18%,-18%,N/A
Boone County,-22%,-6%,N/A,-45%,-39%,+23%
Bureau County,-36%,+14%,N/A,N/A,-29%,+3%
Carroll County,-52%,+14%,N/A,N/A,-23%,N/A
Cass County,-17%,+10%,N/A,N/A,-33%,N/A
Champaign County,-46%,-10%,+63%,-32%,-37%,+12%
Christian County,-31%,-20%,N/A,N/A,-28%,+9%
Clark County,-35%,N/A,N/A,-30%,-33%,N/A
Clay County,-33%,N/A,N/A,N/A,-27%,N/A
Clinton County,-30%,-2%,N/A,N/A,-27%,+14%
Coles County,-31%,+4%,N/A,N/A,-31%,+21%
Cook County,-51%,-9%,-6%,-53%,-43%,+16%
Crawford County,-36%,+22%,N/A,N/A,-23%,N/A
Cumberland County,-62%,N/A,N/A,-24%,-58%,N/A
De Witt County,-37%,-23%,N/A,N/A,-21%,N/A
DeKalb County,-41%,+21%,N/A,N/A,-34%,+13%
Douglas County,-55%,+14%,N/A,N/A,-30%,N/A
DuPage County,-54%,-9%,+30%,-33%,-43%,+17%
Edgar County,-27%,+10%,N/A,N/A,-21%,N/A
Edwards County,N/A,N/A,N/A,N/A,-54%,N/A
Effingham County,-46%,+2%,N/A,-33%,-33%,+12%
Fayette County,-31%,-10%,N/A,N/A,-19%,N/A
Ford County,-51%,-11%,N/A,N/A,-24%,N/A
Franklin County,-25%,+1%,N/A,-35%,-25%,+14%
Fulton County,-33%,-12%,N/A,N/A,-28%,+14%
Gallatin County,N/A,N/A,N/A,N/A,-42%,N/A
Greene County,-60%,+2%,N/A,N/A,-36%,N/A
Grundy County,-30%,+16%,N/A,-26%,-31%,+20%
Hamilton County,-44%,N/A,N/A,N/A,-45%,N/A
Hancock County,-37%,+17%,N/A,N/A,-15%,N/A
Henderson County,N/A,N/A,N/A,N/A,-38%,N/A
Henry County,-36%,+2%,N/A,-45%,-28%,+19%
Iroquois County,-31%,+16%,N/A,-52%,-18%,+3%
Jackson County,-53%,-4%,+8%,N/A,-34%,+18%
Jasper County,-54%,N/A,N/A,N/A,-45%,N/A
Jefferson County,-45%,-6%,N/A,-32%,-36%,+15%
Jersey County,-47%,-24%,N/A,N/A,-18%,N/A
Jo Daviess County,-46%,-2%,N/A,N/A,-40%,N/A
Johnson County,-54%,N/A,-20%,N/A,-48%,N/A
Kane County,-49%,-3%,+74%,-27%,-40%,+15%
Kankakee County,-39%,+12%,N/A,-29%,-33%,+11%
Kendall County,-31%,-7%,+6%,N/A,-39%,+16%
Knox County,-40%,+28%,N/A,-18%,-29%,+17%
LaSalle County,-37%,+33%,-11%,-19%,-33%,+10%
Lake County,-47%,+0%,+47%,-48%,-39%,+15%
Lawrence County,-25%,N/A,N/A,N/A,-19%,N/A
Lee County,-30%,+23%,N/A,N/A,-22%,+13%
Livingston County,-30%,+22%,N/A,N/A,-21%,+16%
Logan County,-41%,-21%,N/A,N/A,-27%,+6%
Macon County,-35%,+10%,N/A,-29%,-29%,+10%
Macoupin County,-45%,+7%,N/A,N/A,-29%,+18%
Madison County,-40%,+9%,+30%,-22%,-31%,+12%
Marion County,-40%,+5%,N/A,-38%,-28%,+15%
Marshall County,-64%,N/A,N/A,N/A,-48%,N/A
Mason County,-15%,+35%,N/A,N/A,-19%,N/A
Massac County,-46%,-10%,N/A,N/A,-32%,N/A
McDonough County,-45%,-9%,N/A,N/A,-24%,+0%
McHenry County,-42%,+3%,+70%,-56%,-37%,+14%
McLean County,-48%,-1%,+59%,-31%,-35%,+12%
Menard County,-61%,N/A,N/A,N/A,-46%,N/A
Mercer County,-31%,N/A,N/A,N/A,-24%,N/A
Monroe County,-40%,-31%,N/A,N/A,-32%,+16%
Montgomery County,-38%,-6%,N/A,N/A,-19%,+1%
Morgan County,-30%,+7%,N/A,-31%,-29%,+6%
Moultrie County,-56%,N/A,N/A,N/A,-28%,N/A
Ogle County,-44%,+4%,N/A,N/A,-26%,+20%
Peoria County,-46%,+17%,+23%,-24%,-32%,+11%
Perry County,-45%,-5%,N/A,N/A,-30%,N/A
Piatt County,-48%,N/A,N/A,N/A,-22%,N/A
Pike County,-23%,-6%,N/A,N/A,-29%,N/A
Pulaski County,N/A,N/A,N/A,N/A,-57%,N/A
Putnam County,N/A,N/A,N/A,N/A,-45%,N/A
Randolph County,-25%,+4%,N/A,N/A,-18%,+10%
Richland County,-40%,-2%,N/A,N/A,-21%,N/A
Rock Island County,-45%,+25%,-31%,-35%,-34%,+13%
Saline County,-18%,+2%,N/A,N/A,-19%,N/A
Sangamon County,-46%,+1%,+46%,-31%,-35%,+12%
Schuyler County,-55%,N/A,N/A,N/A,-37%,N/A
Shelby County,-26%,N/A,N/A,N/A,-25%,N/A
St. Clair County,-48%,+3%,+31%,-27%,-35%,+13%
Stark County,N/A,N/A,N/A,N/A,-41%,N/A
Stephenson County,-33%,+4%,N/A,N/A,-22%,+19%
Tazewell County,-36%,+18%,-4%,N/A,-31%,+11%
Union County,-24%,-10%,N/A,N/A,-25%,N/A
Vermilion County,-26%,+15%,N/A,-28%,-27%,+8%
Wabash County,-50%,-19%,N/A,N/A,-34%,N/A
Warren County,-19%,+10%,N/A,N/A,-36%,N/A
Washington County,-62%,-6%,N/A,N/A,-26%,N/A
Wayne County,-38%,+9%,N/A,N/A,-17%,N/A
White County,-42%,-7%,N/A,N/A,-19%,N/A
Whiteside County,-39%,+12%,N/A,N/A,-27%,+20%
Will County,-43%,+1%,+39%,-21%,-37%,+15%
Williamson County,-40%,-4%,-45%,-31%,-34%,+18%
Winnebago County,-38%,+14%,+20%,-31%,-36%,+11%
Woodford County,-32%,+10%,N/A,N/A,-29%,+19%
