X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Kansas,-41%,-3%,+97%,-23%,-31%,+11%
Allen County,-28%,-2%,N/A,N/A,-30%,N/A
Anderson County,-33%,N/A,N/A,N/A,-37%,N/A
Atchison County,-20%,N/A,N/A,N/A,-29%,N/A
Barton County,-30%,-16%,N/A,N/A,-18%,-1%
Bourbon County,-37%,-15%,N/A,N/A,-24%,N/A
Brown County,-18%,-13%,N/A,N/A,-35%,N/A
Butler County,-24%,-3%,N/A,N/A,-24%,+18%
Cherokee County,-24%,+5%,N/A,N/A,-27%,-4%
Clay County,-23%,-22%,N/A,N/A,-40%,N/A
Cloud County,-47%,N/A,N/A,N/A,-33%,N/A
Coffey County,-73%,-49%,N/A,-32%,-39%,N/A
Cowley County,-25%,-20%,N/A,-57%,-34%,+16%
Crawford County,-41%,-14%,N/A,N/A,-21%,+15%
Dickinson County,-44%,-14%,N/A,-17%,-18%,N/A
Doniphan County,N/A,N/A,N/A,N/A,-31%,N/A
Douglas County,-50%,-16%,+110%,-9%,-40%,+13%
Ellis County,-53%,-23%,N/A,-15%,-41%,-1%
Ellsworth County,N/A,-31%,N/A,N/A,-35%,N/A
Finney County,-43%,-18%,N/A,-46%,+11%,+19%
Ford County,-37%,-22%,N/A,-22%,-43%,+13%
Franklin County,-29%,-19%,N/A,-16%,-28%,+12%
Geary County,-31%,-12%,N/A,N/A,-27%,+22%
Grant County,-22%,N/A,N/A,N/A,-30%,N/A
Greenwood County,N/A,N/A,N/A,N/A,-40%,N/A
Harper County,-65%,N/A,N/A,N/A,-34%,N/A
Harvey County,-42%,+27%,N/A,-35%,-27%,+19%
Jackson County,-29%,-26%,N/A,N/A,-38%,N/A
Jefferson County,-62%,+5%,N/A,N/A,-24%,N/A
Johnson County,-48%,-9%,+148%,-11%,-39%,+14%
Kingman County,-46%,N/A,N/A,N/A,-33%,N/A
Labette County,-34%,-15%,N/A,N/A,-13%,N/A
Leavenworth County,-31%,-2%,N/A,-52%,-28%,+17%
Linn County,N/A,N/A,N/A,N/A,-32%,N/A
Lyon County,-41%,-28%,N/A,-40%,-28%,+16%
Marion County,-30%,N/A,N/A,N/A,-44%,N/A
Marshall County,-30%,N/A,N/A,N/A,-40%,N/A
McPherson County,-39%,-20%,N/A,-37%,-24%,+13%
Miami County,-18%,-13%,N/A,N/A,-27%,+16%
Mitchell County,-71%,N/A,N/A,N/A,-31%,N/A
Montgomery County,-23%,-7%,N/A,N/A,-15%,+12%
Morris County,N/A,N/A,N/A,N/A,-48%,N/A
Nemaha County,-76%,N/A,N/A,N/A,-34%,N/A
Neosho County,-29%,-8%,N/A,-20%,-15%,N/A
Osage County,-66%,+7%,N/A,N/A,-24%,N/A
Ottawa County,N/A,N/A,N/A,N/A,-37%,N/A
Pawnee County,-48%,-21%,N/A,N/A,-30%,N/A
Pottawatomie County,-41%,-9%,N/A,N/A,-33%,+2%
Pratt County,-33%,-13%,N/A,N/A,-35%,N/A
Reno County,-33%,-7%,N/A,-30%,-29%,+9%
Rice County,-33%,-25%,N/A,N/A,-40%,N/A
Riley County,-55%,-32%,-50%,-53%,-38%,+25%
Russell County,-56%,-24%,N/A,N/A,-34%,N/A
Saline County,-45%,-21%,-7%,-23%,-36%,+17%
Scott County,-53%,N/A,N/A,N/A,-33%,N/A
Sedgwick County,-42%,-3%,+40%,-30%,-35%,+11%
Seward County,-39%,-21%,N/A,-19%,-17%,-1%
Shawnee County,-39%,-2%,+104%,+26%,-32%,+11%
Sherman County,-31%,N/A,N/A,N/A,-34%,N/A
Stevens County,-62%,N/A,N/A,N/A,-49%,N/A
Sumner County,-28%,+17%,N/A,N/A,-24%,+1%
Thomas County,-44%,-22%,N/A,-4%,-25%,N/A
Trego County,N/A,-27%,N/A,N/A,N/A,N/A
Wabaunsee County,N/A,N/A,N/A,N/A,-46%,N/A
Washington County,N/A,N/A,N/A,N/A,-38%,N/A
Wilson County,-56%,-9%,N/A,N/A,-42%,N/A
Wyandotte County,-45%,-8%,+49%,-9%,-33%,+11%
