X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Kentucky,-39%,+3%,+60%,-36%,-33%,+10%
Adair County,-28%,+6%,N/A,N/A,-52%,N/A
Allen County,-9%,+7%,N/A,N/A,-28%,N/A
Anderson County,-21%,-3%,N/A,N/A,-34%,-1%
Ballard County,N/A,N/A,N/A,N/A,-41%,N/A
Barren County,-36%,+12%,N/A,N/A,-27%,+7%
Bath County,N/A,-11%,N/A,N/A,-48%,N/A
Bell County,-40%,-3%,N/A,N/A,-21%,N/A
Boone County,-46%,-5%,+31%,-58%,-39%,+12%
Bourbon County,-17%,-13%,N/A,N/A,-25%,N/A
Boyd County,-48%,+1%,N/A,-40%,-30%,+13%
Boyle County,-41%,-11%,N/A,N/A,-28%,N/A
Bracken County,N/A,N/A,N/A,N/A,-47%,N/A
Breathitt County,-11%,N/A,N/A,N/A,-42%,N/A
Breckinridge County,+5%,+19%,N/A,N/A,-31%,N/A
Bullitt County,-35%,+8%,N/A,-31%,-32%,+21%
Butler County,+8%,+15%,N/A,N/A,-52%,N/A
Caldwell County,-31%,-2%,N/A,N/A,-40%,N/A
Calloway County,-47%,-11%,N/A,N/A,-34%,+10%
Campbell County,-46%,+4%,N/A,N/A,-41%,+13%
Carlisle County,N/A,N/A,N/A,N/A,-42%,N/A
Carroll County,-20%,-10%,N/A,N/A,-13%,N/A
Carter County,-24%,-1%,N/A,-19%,-21%,N/A
Casey County,+7%,+15%,N/A,N/A,-49%,N/A
Christian County,-30%,+4%,N/A,-25%,-28%,+21%
Clark County,-32%,-16%,N/A,N/A,-33%,+12%
Clay County,+8%,+2%,N/A,N/A,-36%,N/A
Clinton County,N/A,N/A,N/A,N/A,-33%,N/A
Crittenden County,-19%,+6%,N/A,N/A,-46%,N/A
Daviess County,-48%,+0%,+26%,N/A,-29%,+11%
Edmonson County,N/A,N/A,N/A,N/A,-50%,N/A
Estill County,-15%,-4%,N/A,N/A,-48%,N/A
Fayette County,-49%,-1%,+5%,-33%,-40%,+12%
Fleming County,-7%,+13%,N/A,N/A,-46%,N/A
Floyd County,-17%,-5%,N/A,N/A,-17%,N/A
Franklin County,-35%,-3%,N/A,N/A,-37%,+24%
Fulton County,-24%,+6%,N/A,N/A,-44%,N/A
Gallatin County,N/A,+58%,N/A,-89%,-46%,N/A
Garrard County,-10%,+19%,N/A,N/A,-33%,N/A
Grant County,-26%,-7%,N/A,N/A,-38%,+1%
Graves County,-25%,+4%,N/A,N/A,-26%,+10%
Grayson County,-12%,+24%,N/A,N/A,-32%,N/A
Green County,N/A,N/A,N/A,N/A,-48%,N/A
Greenup County,-31%,+7%,N/A,N/A,-28%,+1%
Hancock County,N/A,N/A,N/A,N/A,-49%,N/A
Hardin County,-42%,-2%,N/A,-32%,-38%,+11%
Harlan County,-10%,+15%,N/A,N/A,-13%,N/A
Harrison County,-17%,-14%,N/A,N/A,-24%,N/A
Hart County,+2%,+14%,N/A,-38%,-16%,N/A
Henderson County,-39%,+55%,N/A,N/A,-29%,+19%
Henry County,-37%,+23%,N/A,-35%,-41%,N/A
