X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Maine,-43%,-2%,-16%,-55%,-33%,+10%
Androscoggin County,-41%,+4%,-33%,N/A,-31%,+10%
Aroostook County,-43%,+9%,-37%,N/A,-23%,+24%
Cumberland County,-54%,-22%,+30%,-65%,-40%,+14%
Franklin County,-35%,-13%,-50%,N/A,-33%,+0%
Hancock County,-36%,-25%,+0%,N/A,-27%,+18%
Kennebec County,-38%,+2%,-47%,-43%,-30%,+8%
Knox County,-38%,-24%,N/A,N/A,-30%,+11%
Lincoln County,-52%,-20%,N/A,N/A,-29%,+6%
Oxford County,-43%,+2%,-19%,N/A,-36%,+15%
Penobscot County,-42%,-3%,-27%,-50%,-33%,+6%
Piscataquis County,-45%,-17%,N/A,N/A,-28%,N/A
Sagadahoc County,-40%,-8%,N/A,N/A,-36%,+13%
Somerset County,-30%,+7%,-31%,N/A,-26%,+7%
Waldo County,-43%,-28%,N/A,N/A,-28%,+13%
Washington County,-50%,-19%,N/A,N/A,-25%,N/A
York County,-42%,+1%,+20%,-64%,-36%,+13%
