Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Massachusetts,-49%,-12%,+33%,-64%,-44%,+16%
Barnstable County,-43%,-7%,+93%,-40%,-38%,+13%
Berkshire County,-43%,-6%,-24%,-63%,-36%,+13%
Bristol County,-40%,+0%,+49%,-33%,-38%,+14%
Dukes County,-80%,-36%,N/A,-44%,-51%,N/A
Essex County,-47%,-15%,+59%,-38%,-46%,+16%
Franklin County,-43%,-7%,-37%,-55%,-37%,+25%
Hampden County,-44%,+1%,+39%,-40%,-39%,+13%
Hampshire County,-52%,-9%,+22%,-45%,-41%,+14%
Middlesex County,-55%,-19%,+25%,-60%,-47%,+17%
Nantucket County,-70%,-35%,N/A,N/A,-54%,N/A
Norfolk County,-53%,-11%,+87%,-46%,-45%,+17%
Plymouth County,-41%,-3%,+101%,-36%,-38%,+15%
Suffolk County,-66%,-19%,-26%,-76%,-55%,+20%
Worcester County,-42%,-12%,+46%,-52%,-39%,+14%
