X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
NewMexico,-46%,-10%,-22%,-36%,-36%,+14%
Bernalillo County,-48%,-12%,-2%,-39%,-40%,+14%
Chaves County,-43%,-11%,-38%,-57%,-26%,+11%
Cibola County,-44%,+8%,N/A,-28%,-35%,N/A
Colfax County,-64%,-29%,N/A,-48%,-43%,N/A
Curry County,-33%,-4%,-33%,-19%,-23%,+18%
Doña Ana County,-42%,-14%,-55%,-32%,-36%,+14%
Eddy County,-37%,-9%,-36%,-35%,-23%,+13%
Grant County,-37%,+4%,N/A,N/A,-32%,+2%
Guadalupe County,-44%,-9%,N/A,-21%,N/A,N/A
Hidalgo County,-54%,N/A,N/A,-41%,N/A,N/A
Lea County,-40%,-5%,-22%,-50%,-19%,+13%
Lincoln County,-72%,-33%,-76%,N/A,-49%,N/A
Los Alamos County,-66%,-34%,N/A,N/A,-53%,N/A
Luna County,-43%,-20%,-55%,-38%,-23%,N/A
McKinley County,-70%,-48%,N/A,-25%,-32%,+21%
Otero County,-41%,-12%,-55%,N/A,-36%,+19%
Quay County,-15%,+1%,N/A,-14%,-39%,N/A
Rio Arriba County,-17%,-15%,N/A,N/A,-35%,+12%
Roosevelt County,-26%,-17%,N/A,N/A,-18%,N/A
San Juan County,-55%,-16%,-9%,-52%,-34%,+16%
San Miguel County,-22%,-6%,N/A,-46%,-22%,-1%
Sandoval County,-35%,-4%,+18%,-46%,-43%,+14%
Santa Fe County,-51%,-15%,-30%,-36%,-46%,+15%
Sierra County,-39%,+4%,N/A,N/A,-28%,N/A
Socorro County,-42%,-7%,N/A,N/A,-34%,N/A
Taos County,-62%,-14%,-7%,N/A,-47%,+1%
Torrance County,-24%,+9%,N/A,-22%,-22%,N/A
Union County,N/A,N/A,N/A,-46%,N/A,N/A
Valencia County,-34%,+39%,-25%,-33%,-34%,+13%
