Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
NewYork,-62%,-4%,-12%,-65%,-48%,+18%
Albany County,-62%,+37%,+66%,-54%,-37%,+14%
Allegany County,-35%,-15%,N/A,N/A,-31%,+18%
Bronx County,-61%,-12%,-20%,-48%,-52%,+19%
Broome County,-50%,+5%,+40%,-38%,-36%,+13%
Cattaraugus County,-45%,+19%,+7%,N/A,-38%,+25%
Cayuga County,-38%,+10%,N/A,-46%,-29%,+25%
Chautauqua County,-38%,+12%,-22%,N/A,-38%,+11%
Chemung County,-53%,+37%,N/A,-57%,-23%,+13%
Chenango County,-45%,+9%,N/A,N/A,-33%,+24%
Clinton County,-56%,+39%,N/A,-71%,-30%,+23%
Columbia County,-48%,+20%,N/A,-29%,-33%,+22%
Cortland County,-43%,+6%,N/A,-39%,-33%,+21%
Delaware County,-40%,+0%,N/A,N/A,-39%,+10%
Dutchess County,-58%,+51%,+102%,-53%,-39%,+16%
Erie County,-58%,+12%,+20%,-44%,-44%,+15%
Essex County,-66%,-29%,-37%,N/A,-47%,+3%
Franklin County,-47%,-11%,N/A,N/A,-33%,+19%
Fulton County,-40%,-12%,N/A,N/A,-25%,+20%
Genesee County,-40%,+1%,N/A,-58%,-37%,+26%
Greene County,-32%,+5%,-33%,N/A,-30%,+18%
Herkimer County,-37%,+9%,N/A,-62%,-32%,+23%
Jefferson County,-39%,+21%,N/A,N/A,-27%,+10%
Kings County,-67%,-19%,-9%,-61%,-53%,+19%
Lewis County,-51%,-9%,N/A,N/A,-23%,N/A
Livingston County,-44%,+36%,N/A,-41%,-33%,+27%
Madison County,-35%,+4%,N/A,-51%,-32%,+26%
Monroe County,-54%,+12%,+97%,-33%,-40%,+14%
Montgomery County,-34%,-11%,N/A,-9%,-27%,+21%
Nassau County,-67%,-3%,+39%,-61%,-52%,+20%
New York County,-86%,-42%,-61%,-78%,-55%,+19%
Niagara County,-45%,+35%,-24%,-53%,-41%,+13%
Oneida County,-48%,+34%,+36%,-31%,-36%,+13%
Onondaga County,-55%,+0%,+57%,-47%,-40%,+14%
Ontario County,-52%,+1%,+79%,-62%,-37%,+13%
Orange County,-54%,+6%,+149%,-45%,-40%,+16%
Orleans County,-41%,+8%,N/A,N/A,-35%,+19%
Oswego County,-31%,+20%,-15%,N/A,-34%,+12%
Otsego County,-46%,+7%,N/A,N/A,-39%,+24%
Putnam County,-58%,-20%,-36%,-49%,-45%,+31%
Queens County,-71%,-22%,+11%,-73%,-62%,+23%
Rensselaer County,-47%,+32%,-7%,-47%,-34%,+13%
Richmond County,-62%,+6%,-9%,-54%,-48%,+19%
Rockland County,-68%,-8%,+146%,-61%,-50%,+17%
Saratoga County,-55%,+25%,+15%,-40%,-35%,+13%
Schenectady County,-50%,+27%,+2%,-39%,-34%,+13%
Schoharie County,-31%,-4%,N/A,N/A,-15%,+3%
Schuyler County,-27%,+4%,N/A,N/A,-26%,N/A
Seneca County,-37%,+2%,N/A,-62%,-28%,+15%
St. Lawrence County,-47%,+22%,-6%,N/A,-34%,+11%
Steuben County,-46%,+8%,-29%,-32%,-27%,+13%
Suffolk County,-57%,+9%,+109%,-62%,-45%,+17%
Sullivan County,-43%,+9%,N/A,N/A,-35%,+24%
Tioga County,-41%,-2%,N/A,N/A,-33%,+24%
Tompkins County,-60%,+37%,-34%,-29%,-43%,+32%
Ulster County,-46%,+8%,+151%,-59%,-36%,+14%
Warren County,-45%,+7%,+51%,-41%,-37%,+21%
Washington County,-32%,+20%,N/A,N/A,-30%,+21%
Wayne County,-36%,+64%,N/A,N/A,-31%,+11%
Westchester County,-68%,+0%,+116%,-51%,-48%,+19%
Wyoming County,-14%,-8%,N/A,N/A,-27%,+18%
Yates County,-17%,-2%,N/A,N/A,-32%,N/A
