X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
NorthCarolina,-40%,-5%,+20%,-49%,-35%,+11%
Alamance County,-43%,+4%,+57%,-32%,-32%,+11%
Alexander County,-30%,+13%,N/A,N/A,-33%,+16%
Alleghany County,-29%,-5%,N/A,N/A,-42%,N/A
Anson County,-50%,-1%,N/A,N/A,-28%,N/A
Ashe County,-28%,-14%,N/A,N/A,-29%,N/A
Avery County,-57%,-20%,N/A,N/A,-31%,N/A
Beaufort County,-26%,+1%,+25%,N/A,-20%,+13%
Bertie County,-53%,+3%,N/A,N/A,-18%,N/A
Bladen County,-23%,+6%,-27%,N/A,-25%,+12%
Brunswick County,-32%,-3%,-12%,-62%,-32%,+10%
Buncombe County,-58%,-18%,+7%,-66%,-43%,+12%
Burke County,-32%,+3%,+43%,N/A,-29%,+8%
Cabarrus County,-46%,-8%,+38%,-34%,-38%,+13%
Caldwell County,-28%,+5%,-2%,N/A,-28%,+9%
Camden County,-46%,N/A,N/A,N/A,-50%,N/A
Carteret County,-38%,-3%,-16%,N/A,-30%,+17%
Caswell County,-28%,+4%,N/A,N/A,-27%,N/A
Catawba County,-48%,-7%,+39%,-28%,-35%,+11%
Chatham County,-26%,-11%,N/A,N/A,-29%,+22%
Cherokee County,-38%,-12%,N/A,N/A,-43%,+1%
Chowan County,-13%,+10%,N/A,N/A,-24%,N/A
Clay County,-54%,-12%,N/A,N/A,-33%,N/A
Cleveland County,-32%,+9%,+16%,N/A,-30%,+9%
Columbus County,-28%,+10%,N/A,N/A,-24%,+18%
Craven County,-37%,-3%,+12%,-50%,-32%,+10%
Cumberland County,-39%,-7%,+6%,-40%,-34%,+11%
Currituck County,-25%,-9%,N/A,N/A,-23%,+8%
Dare County,-51%,-18%,-39%,N/A,-34%,+12%
Davidson County,-30%,+6%,+81%,-20%,-35%,+9%
Davie County,-29%,+3%,N/A,-41%,-33%,+17%
Duplin County,-37%,+7%,N/A,-32%,-24%,+17%
Durham County,-48%,-18%,-6%,-33%,-41%,+14%
Edgecombe County,-13%,+17%,N/A,N/A,-35%,+19%
Forsyth County,-39%,-8%,+95%,+1%,-38%,+11%
Franklin County,-18%,+10%,N/A,N/A,-30%,+22%
Gaston County,-37%,-9%,+7%,N/A,-33%,+11%
Gates County,N/A,N/A,N/A,N/A,-39%,N/A
Graham County,N/A,N/A,N/A,N/A,-49%,N/A
Granville County,-22%,-7%,N/A,N/A,-32%,+23%
Greene County,-41%,+2%,-17%,N/A,-25%,N/A
Guilford County,-46%,-11%,+50%,-35%,-40%,+12%
Halifax County,-32%,+1%,N/A,N/A,-29%,+18%
Harnett County,-29%,+6%,-15%,-24%,-28%,+10%
Haywood County,-36%,-1%,+12%,-36%,-31%,+19%
Henderson County,-45%,-3%,+81%,-23%,-35%,+11%
Hertford County,-43%,+47%,N/A,N/A,-21%,N/A
Hoke County,-25%,+8%,N/A,N/A,-32%,+20%
Iredell County,-40%,+1%,+55%,-28%,-36%,+11%
Jackson County,-42%,-9%,+9%,N/A,-50%,+17%
Johnston County,-34%,-4%,+30%,-30%,-32%,+12%
Jones County,N/A,-6%,N/A,N/A,-53%,N/A
Lee County,-30%,+1%,N/A,N/A,-28%,+21%
Lenoir County,-31%,+12%,N/A,N/A,-28%,+18%
Lincoln County,-18%,+16%,N/A,N/A,-33%,+10%
Macon County,-35%,-9%,-15%,N/A,-33%,+14%
Madison County,-62%,-12%,N/A,N/A,-20%,N/A
Martin County,-28%,-4%,N/A,N/A,-24%,N/A
McDowell County,-20%,+5%,+9%,-21%,-18%,+18%
Mecklenburg County,-52%,-9%,-17%,-68%,-43%,+15%
Mitchell County,-33%,-10%,N/A,N/A,-24%,N/A
Montgomery County,-34%,+4%,+9%,-49%,-26%,-1%
Moore County,-48%,-2%,+12%,N/A,-39%,+21%
Nash County,-36%,+3%,N/A,-32%,-32%,+10%
New Hanover County,-51%,-14%,-25%,-67%,-39%,+13%
Northampton County,-67%,+21%,N/A,N/A,-24%,N/A
Onslow County,-35%,-2%,+10%,-71%,-29%,+10%
Orange County,-52%,-18%,-4%,-31%,-41%,+14%
Pamlico County,-23%,+9%,N/A,N/A,-45%,N/A
Pasquotank County,-30%,+4%,N/A,N/A,-21%,+20%
Pender County,-23%,+0%,N/A,N/A,-23%,+20%
Perquimans County,-53%,-2%,N/A,N/A,-43%,N/A
Person County,-26%,+10%,N/A,N/A,-31%,+17%
Pitt County,-43%,-10%,-2%,-29%,-33%,+11%
Polk County,-48%,-19%,N/A,N/A,-29%,N/A
Randolph County,-42%,-2%,-20%,N/A,-30%,+9%
