Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Ohio,-41%,-2%,+82%,-28%,-37%,+12%
Adams County,-39%,+32%,N/A,N/A,-23%,-2%
Allen County,-44%,-2%,+11%,-20%,-32%,+12%
Ashland County,-36%,+8%,N/A,N/A,-40%,+23%
Ashtabula County,-29%,+8%,+81%,-28%,-29%,+11%
Athens County,-53%,-6%,N/A,N/A,-39%,+18%
Auglaize County,-39%,-3%,N/A,N/A,-28%,+22%
Belmont County,-40%,+32%,N/A,-36%,-27%,+19%
Brown County,-31%,+10%,N/A,N/A,-24%,+19%
Butler County,-45%,-6%,+136%,-12%,-34%,+12%
Carroll County,-37%,-8%,N/A,N/A,-30%,+0%
Champaign County,-34%,-5%,N/A,N/A,-39%,+20%
Clark County,-32%,+1%,N/A,-15%,-31%,+10%
Clermont County,-39%,-8%,+68%,N/A,-37%,+12%
Clinton County,-37%,+6%,N/A,+17%,-31%,+22%
Columbiana County,-28%,+17%,N/A,N/A,-37%,+12%
Coshocton County,-28%,+0%,N/A,N/A,-23%,+16%
Crawford County,-32%,+1%,N/A,N/A,-38%,+22%
Cuyahoga County,-47%,-1%,+67%,-38%,-40%,+13%
Darke County,-29%,+0%,N/A,N/A,-27%,+23%
Defiance County,-39%,+4%,N/A,N/A,-31%,+20%
Delaware County,-58%,-17%,+137%,-37%,-41%,+14%
Erie County,-42%,+2%,+2%,N/A,-43%,+12%
Fairfield County,-45%,-2%,+58%,N/A,-29%,+12%
Fayette County,-35%,-4%,N/A,-32%,-31%,+9%
Franklin County,-46%,-9%,+43%,-38%,-40%,+13%
Fulton County,-33%,+7%,N/A,-45%,-32%,+26%
Gallia County,-35%,-6%,N/A,-17%,-21%,N/A
Geauga County,-37%,-6%,+10%,N/A,-39%,+27%
Greene County,-47%,-3%,+144%,N/A,-37%,+12%
Guernsey County,-32%,-8%,N/A,-28%,-27%,+15%
Hamilton County,-47%,-7%,+94%,-18%,-38%,+13%
Hancock County,-46%,-5%,N/A,-28%,-45%,+26%
Hardin County,-30%,+3%,N/A,N/A,-38%,+13%
Harrison County,-2%,+5%,N/A,N/A,-25%,N/A
Henry County,-34%,-6%,N/A,-40%,-36%,+13%
Highland County,-16%,+4%,N/A,N/A,-27%,+19%
Hocking County,-42%,-11%,-35%,N/A,-32%,-3%
Holmes County,-53%,-13%,N/A,N/A,-31%,-1%
Huron County,-31%,+13%,N/A,N/A,-38%,+22%
Jackson County,-25%,+27%,N/A,-35%,-28%,-1%
Jefferson County,-28%,+14%,N/A,-17%,-30%,+19%
Knox County,-26%,+14%,N/A,N/A,-36%,+22%
Lake County,-43%,-1%,+120%,-30%,-37%,+14%
Lawrence County,-28%,-4%,N/A,N/A,-31%,+19%
Licking County,-35%,-3%,+9%,-32%,-33%,+12%
Logan County,-22%,+4%,N/A,N/A,-48%,+23%
Lorain County,-36%,+10%,+114%,-59%,-35%,+12%
Lucas County,-48%,+0%,+61%,-12%,-38%,+14%
Madison County,-40%,-9%,N/A,-24%,-35%,+21%
Mahoning County,-42%,+0%,+97%,-34%,-38%,+13%
Marion County,-29%,+5%,N/A,N/A,-39%,+21%
Medina County,-41%,+4%,N/A,-30%,-34%,+14%
Meigs County,-29%,N/A,N/A,N/A,-18%,N/A
Mercer County,-34%,-6%,N/A,N/A,-32%,+22%
Miami County,-36%,-4%,-4%,N/A,-35%,+12%
Monroe County,-57%,-6%,N/A,N/A,-44%,N/A
Montgomery County,-45%,-3%,+87%,+2%,-37%,+12%
Morgan County,-22%,+20%,N/A,N/A,-34%,N/A
Morrow County,-45%,-6%,N/A,-33%,-31%,+18%
Muskingum County,-33%,-6%,N/A,-21%,-30%,+10%
Noble County,-53%,+9%,N/A,-17%,-39%,N/A
Ottawa County,-32%,+6%,N/A,N/A,-32%,+22%
Paulding County,+11%,+13%,N/A,N/A,-38%,N/A
Perry County,-5%,+3%,N/A,N/A,-25%,+10%
Pickaway County,-21%,+5%,N/A,-5%,-25%,+20%
Pike County,-22%,-5%,N/A,N/A,-22%,N/A
Portage County,-41%,-2%,+22%,-40%,-38%,+13%
Preble County,-23%,-20%,N/A,+1%,-32%,+22%
Putnam County,-37%,+17%,N/A,N/A,-40%,+16%
Richland County,-46%,-5%,N/A,-32%,-39%,+11%
Ross County,-38%,+7%,N/A,+3%,-25%,+17%
Sandusky County,-30%,+5%,N/A,-52%,-35%,+25%
Scioto County,-33%,+0%,N/A,N/A,-22%,+15%
Seneca County,-27%,+10%,N/A,N/A,-38%,+26%
Shelby County,-26%,-15%,N/A,-29%,-41%,+21%
Stark County,-40%,-3%,+89%,-7%,-35%,+12%
Summit County,-43%,+0%,+59%,-23%,-39%,+13%
Trumbull County,-38%,+8%,+87%,-19%,-37%,+12%
Tuscarawas County,-35%,+9%,N/A,N/A,-35%,+12%
Union County,-38%,+1%,N/A,N/A,-40%,+30%
Van Wert County,-25%,-8%,N/A,N/A,-34%,+19%
Vinton County,-56%,+9%,N/A,N/A,-46%,N/A
Warren County,-45%,+5%,+75%,-24%,-37%,+13%
Washington County,-40%,-2%,N/A,N/A,-31%,+19%
Wayne County,-46%,+1%,N/A,-35%,-36%,+12%
Williams County,-32%,-11%,N/A,-58%,-32%,+21%
Wood County,-46%,-16%,-7%,-31%,-40%,+14%
Wyandot County,-40%,+6%,N/A,-14%,-39%,+6%
