X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Oregon,-45%,-7%,+16%,-41%,-36%,+12%
Baker County,-38%,-10%,N/A,-27%,-31%,N/A
Benton County,-54%,-21%,+44%,-49%,-44%,+23%
Clackamas County,-46%,-9%,+6%,-27%,-37%,+13%
Clatsop County,-55%,-23%,-25%,-61%,-40%,+16%
Columbia County,-31%,-2%,+58%,N/A,-32%,+16%
Coos County,-33%,+3%,-11%,N/A,-34%,+13%
Crook County,-32%,-15%,N/A,N/A,-33%,-1%
Curry County,-47%,-10%,+16%,N/A,-31%,N/A
Deschutes County,-46%,-8%,-14%,-61%,-37%,+11%
Douglas County,-30%,+10%,+17%,-11%,-26%,+7%
Grant County,-70%,-19%,N/A,N/A,-28%,N/A
Harney County,-41%,-6%,N/A,N/A,-22%,N/A
Hood River County,-48%,+6%,-3%,N/A,-41%,N/A
Jackson County,-40%,-1%,+44%,-37%,-33%,+8%
Jefferson County,-36%,-6%,N/A,-8%,-33%,+0%
Josephine County,-32%,+3%,+64%,-37%,-29%,+8%
Klamath County,-36%,+7%,+18%,-20%,-28%,+7%
Lake County,-38%,N/A,N/A,N/A,-30%,N/A
Lane County,-45%,-9%,+29%,-48%,-37%,+11%
Lincoln County,-58%,-24%,-43%,N/A,-45%,+16%
Linn County,-32%,+4%,+38%,-27%,-28%,+10%
Malheur County,-21%,+11%,N/A,+1%,-17%,+7%
Marion County,-41%,-1%,+37%,-26%,-30%,+11%
Morrow County,-41%,N/A,N/A,-21%,-21%,N/A
Multnomah County,-60%,-15%,+5%,-54%,-43%,+14%
Polk County,-27%,+6%,+41%,N/A,-37%,+11%
Sherman County,N/A,N/A,N/A,-28%,N/A,N/A
Tillamook County,-56%,-13%,-10%,N/A,-29%,-1%
Umatilla County,-27%,+20%,+13%,-23%,-28%,+8%
Union County,-30%,-31%,N/A,-34%,-26%,+0%
Wallowa County,-68%,-14%,N/A,N/A,-27%,N/A
Wasco County,-33%,+1%,+12%,N/A,-31%,+7%
Washington County,-47%,-15%,+47%,-43%,-39%,+14%
Yamhill County,-34%,-4%,+66%,-63%,-33%,+11%
