X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
SouthCarolina,-41%,-2%,-24%,-45%,-34%,+11%
Abbeville County,-30%,+7%,N/A,N/A,-25%,N/A
Aiken County,-32%,-1%,-19%,-27%,-33%,+11%
Allendale County,N/A,-12%,N/A,N/A,-43%,N/A
Anderson County,-45%,+8%,+8%,-37%,-33%,+11%
Bamberg County,-32%,+4%,N/A,N/A,-30%,N/A
Barnwell County,-33%,+4%,N/A,N/A,-24%,N/A
Beaufort County,-43%,-10%,-40%,-57%,-38%,+12%
Berkeley County,-35%,+1%,+7%,-40%,-34%,+12%
Calhoun County,-16%,+13%,N/A,-63%,-27%,N/A
Charleston County,-52%,-20%,-58%,-60%,-41%,+13%
Cherokee County,-44%,+4%,-13%,-32%,-36%,+17%
Chester County,-35%,+3%,N/A,-45%,-28%,+13%
Chesterfield County,-31%,+7%,N/A,N/A,-22%,+14%
Clarendon County,-31%,-2%,N/A,-45%,-27%,N/A
Colleton County,-35%,-4%,N/A,-52%,-30%,+13%
Darlington County,-27%,+0%,-28%,N/A,-30%,+19%
Dillon County,-29%,+0%,-64%,-33%,-30%,-2%
Dorchester County,-33%,+1%,-30%,-47%,-37%,+12%
Edgefield County,-54%,+7%,N/A,N/A,-23%,N/A
Fairfield County,-3%,+5%,N/A,-47%,-27%,N/A
Florence County,-46%,+3%,+4%,-38%,-29%,+10%
Georgetown County,-47%,-2%,-23%,N/A,-30%,+15%
Greenville County,-47%,+1%,-41%,-18%,-39%,+13%
Greenwood County,-39%,-1%,N/A,N/A,-23%,+16%
Hampton County,-47%,-7%,N/A,-34%,-22%,N/A
Horry County,-53%,-13%,-45%,-75%,-41%,+12%
Jasper County,-39%,-13%,-54%,-28%,-34%,+8%
Kershaw County,-39%,+13%,N/A,-53%,-24%,+19%
Lancaster County,-34%,+0%,N/A,N/A,-31%,+20%
Laurens County,-19%,+19%,N/A,-32%,-31%,+9%
Lee County,-70%,+8%,N/A,-39%,-18%,N/A
Lexington County,-44%,-5%,+7%,-32%,-30%,+11%
Marion County,-31%,+12%,N/A,N/A,-28%,+2%
Marlboro County,-29%,-2%,N/A,N/A,-37%,N/A
McCormick County,-49%,+11%,N/A,N/A,-43%,N/A
Newberry County,-27%,+4%,N/A,-47%,-29%,+17%
Oconee County,-35%,+9%,-10%,N/A,-29%,+16%
Orangeburg County,-33%,+0%,N/A,-49%,-28%,+10%
Pickens County,-36%,+4%,-17%,N/A,-28%,+10%
Richland County,-42%,-8%,-37%,-31%,-34%,+13%
Saluda County,-40%,+3%,N/A,N/A,-23%,N/A
Spartanburg County,-41%,-2%,+21%,-60%,-35%,+11%
Sumter County,-36%,+1%,N/A,-45%,-33%,+11%
Union County,-30%,+1%,N/A,N/A,-35%,+4%
Williamsburg County,-31%,+2%,N/A,N/A,-19%,N/A
York County,-38%,-5%,-12%,-40%,-37%,+13%
