X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USAlabama,-39%,+3%,+11%,-35%,-29%,+10%
Autauga County,-37%,+16%,-14%,N/A,-30%,+20%
Baldwin County,-44%,-10%,-42%,-39%,-28%,+11%
Barbour County,-18%,-20%,N/A,N/A,-31%,N/A
Bibb County,-42%,-15%,N/A,N/A,-19%,N/A
Blount County,-20%,+18%,N/A,N/A,-24%,+20%
Bullock County,-22%,-27%,N/A,N/A,-33%,N/A
Butler County,-47%,-9%,N/A,-57%,-33%,N/A
Calhoun County,-40%,+1%,-22%,N/A,-29%,+9%
Chambers County,-35%,-3%,N/A,-40%,-32%,+15%
Cherokee County,-41%,-5%,N/A,N/A,-18%,N/A
Chilton County,-28%,+11%,N/A,-30%,-25%,+17%
Choctaw County,-13%,-19%,N/A,N/A,-43%,N/A
Clarke County,-22%,-29%,N/A,N/A,-9%,N/A
Clay County,-43%,-20%,N/A,N/A,-41%,N/A
Cleburne County,-35%,-13%,N/A,-42%,-14%,N/A
Coffee County,-25%,-2%,N/A,N/A,-27%,+18%
Colbert County,-27%,+11%,-37%,-23%,-21%,+16%
Conecuh County,-65%,-10%,N/A,-41%,-36%,N/A
Coosa County,N/A,N/A,N/A,N/A,-44%,N/A
Covington County,-30%,+6%,N/A,N/A,-20%,+8%
Crenshaw County,-58%,-10%,N/A,N/A,-33%,N/A
Cullman County,-39%,+13%,+38%,-33%,-28%,+9%
Dale County,-32%,+0%,N/A,-39%,-23%,+16%
Dallas County,-30%,+7%,N/A,N/A,-22%,+5%
DeKalb County,-43%,+2%,-4%,-33%,-16%,+17%
Elmore County,-35%,+6%,+49%,N/A,-33%,+21%
Escambia County,-32%,-7%,N/A,N/A,-28%,+7%
Etowah County,-42%,+1%,-23%,-37%,-30%,+8%
Fayette County,-39%,N/A,N/A,N/A,-32%,N/A
Franklin County,-19%,-15%,N/A,N/A,-21%,+5%
Geneva County,-42%,+14%,N/A,N/A,-27%,-2%
Greene County,+11%,-29%,N/A,-47%,-44%,N/A
Hale County,-41%,-36%,N/A,N/A,-29%,N/A
Henry County,-49%,-19%,N/A,N/A,-21%,N/A
Houston County,-45%,-5%,+14%,-35%,-29%,+10%
Jackson County,-40%,+14%,N/A,N/A,-21%,+18%
Jefferson County,-45%,+3%,+20%,-35%,-32%,+11%
Lamar County,-32%,+0%,N/A,N/A,-39%,N/A
Lauderdale County,-44%,+6%,-15%,N/A,-29%,+8%
Lawrence County,-41%,-16%,N/A,N/A,-22%,+7%
Lee County,-49%,-9%,-14%,N/A,-32%,+12%
Limestone County,-30%,+5%,-1%,N/A,-24%,+10%
Lowndes County,N/A,N/A,N/A,-42%,-54%,N/A
Macon County,-46%,-5%,N/A,-54%,-39%,N/A
Madison County,-46%,-5%,+55%,-37%,-36%,+11%
Marengo County,-26%,+5%,N/A,N/A,-9%,N/A
Marion County,-43%,-13%,N/A,N/A,-32%,N/A
Marshall County,-34%,+7%,+94%,N/A,-28%,+8%
Mobile County,-35%,+6%,-33%,-36%,-28%,+12%
Monroe County,-52%,+36%,N/A,N/A,-24%,N/A
Montgomery County,-43%,-2%,+0%,+4%,-29%,+11%
Morgan County,-37%,+11%,+49%,-34%,-31%,+9%
Perry County,-58%,-16%,N/A,N/A,-44%,N/A
Pickens County,-36%,+9%,N/A,N/A,-36%,N/A
Pike County,-31%,-20%,N/A,N/A,-34%,+0%
Randolph County,-45%,-7%,N/A,N/A,-26%,N/A
Russell County,-30%,+48%,N/A,N/A,-27%,+18%
Shelby County,-41%,-4%,+56%,N/A,-32%,+12%
St. Clair County,-30%,+8%,N/A,-34%,-26%,+9%
Sumter County,-61%,-11%,N/A,N/A,-45%,N/A
Talladega County,-25%,+11%,+16%,-30%,-26%,+9%
Tallapoosa County,-33%,+6%,N/A,N/A,-31%,+18%
Tuscaloosa County,-42%,+5%,-10%,-34%,-35%,+12%
Walker County,-31%,+7%,N/A,-39%,-15%,+14%
Washington County,N/A,-16%,N/A,N/A,-36%,N/A
Wilcox County,-61%,N/A,N/A,N/A,-44%,N/A
Winston County,-42%,-12%,N/A,N/A,-23%,N/A
