X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USArkansas,-35%,+1%,+1%,-34%,-26%,+10%
Arkansas County,-23%,+8%,N/A,N/A,-24%,N/A
Ashley County,-32%,+6%,N/A,N/A,-13%,N/A
Baxter County,-34%,+18%,N/A,N/A,-22%,+13%
Benton County,-42%,-7%,+21%,-62%,-32%,+12%
Boone County,-30%,+5%,N/A,N/A,-35%,+16%
Bradley County,-40%,-7%,N/A,N/A,-42%,N/A
Carroll County,-42%,-3%,N/A,N/A,-43%,-1%
Chicot County,-22%,+4%,N/A,N/A,-35%,N/A
Clark County,-26%,-4%,N/A,-37%,-13%,N/A
Clay County,-10%,-2%,N/A,N/A,-36%,N/A
Cleburne County,-48%,+43%,N/A,N/A,-27%,N/A
Cleveland County,N/A,N/A,N/A,N/A,-40%,N/A
Columbia County,-20%,-11%,N/A,N/A,-21%,N/A
Conway County,-25%,+2%,N/A,-18%,-21%,N/A
Craighead County,-44%,-6%,-59%,-14%,-26%,+9%
Crawford County,-16%,+6%,N/A,-4%,-20%,+15%
Crittenden County,-29%,+10%,N/A,-27%,-25%,+19%
Cross County,-55%,+93%,N/A,N/A,-7%,N/A
Dallas County,-25%,N/A,N/A,N/A,-25%,N/A
Desha County,-22%,+11%,N/A,N/A,-41%,N/A
Drew County,-27%,+5%,N/A,N/A,-27%,N/A
Faulkner County,-44%,-11%,-2%,N/A,-28%,+11%
Franklin County,-10%,-3%,N/A,-22%,-20%,N/A
Fulton County,N/A,N/A,N/A,N/A,-31%,N/A
Garland County,-41%,+0%,-43%,N/A,-34%,+11%
Grant County,-6%,+6%,N/A,N/A,-16%,N/A
Greene County,-21%,+5%,N/A,N/A,-23%,+15%
Hempstead County,-33%,-3%,N/A,N/A,-25%,N/A
Hot Spring County,-16%,+21%,N/A,-37%,-19%,+8%
Howard County,-36%,+4%,N/A,N/A,-24%,N/A
Independence County,-43%,+50%,N/A,N/A,-16%,+13%
Izard County,-22%,+8%,N/A,N/A,-36%,N/A
Jackson County,-12%,+24%,N/A,N/A,-32%,N/A
Jefferson County,-26%,+21%,N/A,-20%,-25%,+15%
Johnson County,-34%,+4%,-12%,N/A,-20%,-2%
Lawrence County,-22%,-1%,N/A,N/A,-43%,N/A
Lincoln County,-60%,-4%,N/A,N/A,-39%,N/A
Little River County,-25%,-4%,N/A,N/A,-42%,N/A
Logan County,-24%,+9%,N/A,N/A,-15%,N/A
Lonoke County,-24%,+12%,N/A,N/A,-22%,+17%
Madison County,-31%,-13%,N/A,N/A,-20%,N/A
Marion County,-16%,+3%,N/A,N/A,-31%,N/A
Miller County,-35%,-2%,-33%,-47%,-26%,+14%
Mississippi County,-13%,+18%,N/A,-26%,-15%,+10%
Monroe County,-40%,-8%,N/A,N/A,-39%,N/A
Montgomery County,N/A,N/A,N/A,N/A,-35%,N/A
Nevada County,-61%,N/A,N/A,-40%,-33%,N/A
Newton County,N/A,N/A,N/A,N/A,-29%,N/A
Ouachita County,-16%,-20%,N/A,N/A,-19%,N/A
Perry County,N/A,N/A,N/A,N/A,-41%,N/A
Phillips County,-5%,+16%,N/A,N/A,-17%,N/A
Pike County,-30%,-8%,N/A,N/A,-31%,N/A
Poinsett County,-2%,+7%,N/A,N/A,-5%,N/A
Polk County,-51%,+31%,N/A,N/A,-28%,N/A
Pope County,-41%,-6%,N/A,-31%,-20%,+15%
Prairie County,N/A,N/A,N/A,N/A,-39%,N/A
Pulaski County,-41%,-5%,-18%,-46%,-30%,+11%
Randolph County,-33%,+12%,N/A,N/A,-18%,N/A
Saline County,-30%,-3%,-44%,-20%,-26%,+11%
Scott County,-53%,N/A,N/A,N/A,-33%,N/A
Searcy County,N/A,N/A,N/A,N/A,-43%,N/A
Sebastian County,-39%,-3%,+0%,-58%,-30%,+10%
Sevier County,-35%,-8%,N/A,N/A,-28%,N/A
Sharp County,-27%,+0%,N/A,N/A,-25%,N/A
St. Francis County,-26%,+28%,N/A,-27%,-18%,N/A
Stone County,-23%,+8%,N/A,N/A,-25%,N/A
Union County,-32%,-9%,N/A,N/A,-21%,+10%
Van Buren County,-33%,N/A,N/A,N/A,-38%,N/A
Washington County,-43%,-9%,+13%,-30%,-33%,+12%
White County,-30%,+1%,-9%,-19%,-20%,+13%
Yell County,-27%,+10%,+18%,N/A,-15%,N/A
