X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USLouisiana,-45%,-2%,-35%,-54%,-36%,+14%
Acadia Parish,-31%,+23%,N/A,-52%,-28%,+12%
Allen Parish,-35%,-10%,N/A,N/A,-38%,N/A
Ascension Parish,-46%,+4%,N/A,N/A,-36%,+15%
Assumption Parish,N/A,-3%,N/A,N/A,-31%,N/A
Avoyelles Parish,-16%,+5%,N/A,N/A,-27%,-2%
Beauregard Parish,-27%,-7%,N/A,N/A,-33%,+3%
Bienville Parish,-44%,-8%,N/A,N/A,-40%,N/A
Bossier Parish,-57%,-8%,-13%,-53%,-41%,+15%
Caddo Parish,-42%,+0%,-43%,-46%,-36%,+13%
Calcasieu Parish,-42%,-9%,-31%,-51%,-33%,+14%
Caldwell Parish,-13%,N/A,N/A,N/A,-43%,N/A
Cameron Parish,N/A,+10%,N/A,N/A,-48%,N/A
Catahoula Parish,-64%,-24%,N/A,N/A,-44%,N/A
Claiborne Parish,-41%,-14%,N/A,N/A,-41%,N/A
Concordia Parish,-24%,-16%,N/A,N/A,-30%,N/A
De Soto Parish,-22%,-12%,N/A,-35%,-23%,N/A
East Baton Rouge Parish,-48%,+3%,-28%,-43%,-36%,+14%
East Feliciana Parish,-23%,-3%,N/A,N/A,-58%,N/A
Evangeline Parish,-36%,+1%,N/A,N/A,-28%,N/A
Franklin Parish,-25%,+3%,N/A,N/A,-20%,N/A
Grant Parish,N/A,+17%,N/A,N/A,-20%,N/A
Iberia Parish,-27%,+7%,-28%,N/A,-27%,+21%
Iberville Parish,-24%,+0%,N/A,-49%,-37%,N/A
Jackson Parish,-21%,-5%,N/A,N/A,-44%,N/A
Jefferson Davis Parish,-52%,-7%,N/A,-53%,-30%,-1%
Jefferson Parish,-50%,-5%,-35%,-85%,-45%,+17%
La Salle Parish,-36%,+2%,N/A,N/A,-41%,N/A
Lafayette Parish,-48%,-4%,-21%,-40%,-36%,+14%
Lafourche Parish,-31%,+2%,N/A,-54%,-29%,+22%
Lincoln Parish,-60%,+2%,N/A,-39%,-33%,+9%
Livingston Parish,-37%,+9%,-32%,-35%,-34%,+12%
Madison Parish,-14%,+6%,N/A,-50%,-36%,N/A
Morehouse Parish,-20%,-9%,N/A,N/A,-25%,N/A
Natchitoches Parish,-38%,-16%,N/A,N/A,-32%,+6%
Orleans Parish,-72%,-26%,-62%,-56%,-53%,+19%
Ouachita Parish,-45%,-1%,-7%,-38%,-30%,+11%
Plaquemines Parish,-35%,-14%,-33%,N/A,-46%,N/A
Pointe Coupee Parish,-18%,-3%,N/A,N/A,-9%,N/A
Rapides Parish,-39%,+0%,-39%,-53%,-27%,+11%
Red River Parish,-58%,N/A,N/A,N/A,-40%,N/A
Richland Parish,-28%,+1%,N/A,-36%,-17%,N/A
Sabine Parish,-23%,-15%,N/A,N/A,-23%,N/A
St. Bernard Parish,-27%,+23%,-19%,N/A,-42%,+20%
St. Charles Parish,-45%,+20%,N/A,-41%,-38%,+24%
St. Helena Parish,N/A,-20%,N/A,N/A,-58%,N/A
St. James Parish,-13%,-4%,N/A,N/A,-29%,N/A
St. John the Baptist Parish,-37%,-1%,-62%,-57%,-38%,+21%
St. Landry Parish,-38%,+20%,N/A,-38%,-26%,+20%
St. Martin Parish,-41%,+14%,-16%,-46%,-36%,+15%
St. Mary Parish,-34%,-8%,N/A,-57%,-41%,+13%
St. Tammany Parish,-45%,+2%,-15%,-32%,-35%,+14%
Tangipahoa Parish,-31%,+5%,-20%,-39%,-31%,+13%
Terrebonne Parish,-47%,+0%,-8%,-49%,-37%,+14%
Union Parish,-28%,+13%,N/A,N/A,-24%,N/A
Vermilion Parish,-39%,+12%,N/A,N/A,-27%,+12%
Vernon Parish,-31%,-10%,N/A,N/A,-26%,+20%
Washington Parish,-29%,+18%,N/A,N/A,-22%,+2%
Webster Parish,-28%,-9%,N/A,-40%,-35%,+13%
West Baton Rouge Parish,-44%,+15%,N/A,-54%,-34%,N/A
West Carroll Parish,-16%,-2%,N/A,N/A,-47%,N/A
West Feliciana Parish,-69%,-19%,N/A,N/A,-60%,N/A
Winn Parish,-18%,+0%,N/A,N/A,-41%,N/A
