X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USMississippi,-35%,+1%,-12%,-38%,-32%,+11%
Adams County,-36%,-14%,N/A,N/A,-29%,N/A
Alcorn County,-40%,-13%,N/A,N/A,-31%,+1%
Amite County,-50%,-31%,N/A,N/A,-35%,N/A
Attala County,-27%,-11%,N/A,N/A,-37%,N/A
Benton County,N/A,N/A,N/A,N/A,-45%,N/A
Bolivar County,-29%,-16%,N/A,N/A,-24%,N/A
Calhoun County,-63%,-30%,N/A,N/A,-53%,N/A
Carroll County,N/A,N/A,N/A,N/A,-48%,N/A
Chickasaw County,-41%,-25%,N/A,N/A,-37%,N/A
Claiborne County,-66%,N/A,N/A,N/A,-28%,N/A
Clarke County,-18%,-10%,N/A,N/A,-46%,N/A
Clay County,-43%,-3%,N/A,-44%,-23%,N/A
Coahoma County,-37%,-8%,N/A,N/A,-36%,N/A
Copiah County,-35%,-8%,N/A,N/A,-24%,N/A
Covington County,-43%,-28%,N/A,N/A,-20%,N/A
DeSoto County,-38%,+7%,+3%,-35%,-35%,+12%
Forrest County,-45%,+5%,N/A,-33%,-30%,+19%
George County,-55%,+25%,N/A,N/A,-29%,N/A
Greene County,N/A,-6%,N/A,N/A,-47%,N/A
Grenada County,-20%,-14%,N/A,N/A,-30%,N/A
Hancock County,-33%,+5%,N/A,N/A,-40%,+16%
Harrison County,-44%,-5%,-3%,-46%,-45%,+14%
Hinds County,-32%,+8%,-24%,-19%,-27%,+10%
Holmes County,-55%,-6%,N/A,N/A,-51%,N/A
Humphreys County,N/A,+9%,N/A,N/A,-40%,N/A
Itawamba County,-44%,-8%,N/A,N/A,-33%,N/A
Jackson County,-33%,-5%,-27%,-50%,-43%,+14%
Jasper County,-55%,-8%,N/A,N/A,-40%,N/A
Jefferson County,N/A,N/A,N/A,N/A,-35%,N/A
Jefferson Davis County,N/A,+16%,N/A,N/A,-51%,N/A
Jones County,-26%,+8%,N/A,-47%,-31%,+17%
Kemper County,N/A,N/A,N/A,N/A,-45%,N/A
Lafayette County,-50%,-28%,N/A,N/A,-41%,+10%
Lamar County,-55%,-9%,N/A,-49%,-30%,+17%
Lauderdale County,-42%,-6%,-10%,-40%,-32%,+18%
Lawrence County,N/A,-18%,N/A,N/A,-40%,N/A
Leake County,-41%,-35%,N/A,N/A,-33%,N/A
Lee County,-53%,-8%,N/A,-37%,-37%,+23%
Leflore County,-25%,-7%,N/A,N/A,-24%,N/A
Lincoln County,-32%,-18%,N/A,N/A,-26%,N/A
Lowndes County,-43%,+29%,N/A,-43%,-27%,+17%
Madison County,-40%,-8%,-53%,-44%,-33%,+27%
Marion County,-35%,-12%,N/A,N/A,-15%,N/A
Marshall County,-33%,-4%,N/A,N/A,-33%,+5%
Monroe County,-56%,+25%,N/A,N/A,-31%,+0%
Montgomery County,-58%,-29%,N/A,-38%,-43%,N/A
Neshoba County,-33%,-20%,N/A,N/A,-30%,N/A
Newton County,-29%,-13%,N/A,N/A,-36%,N/A
Noxubee County,-71%,+2%,N/A,N/A,-31%,N/A
Oktibbeha County,-48%,-22%,N/A,N/A,-34%,+2%
Panola County,-27%,+4%,N/A,-34%,-34%,-3%
Pearl River County,-23%,+3%,N/A,-48%,-28%,+18%
Perry County,N/A,-21%,-25%,N/A,-44%,N/A
Pike County,-29%,-2%,N/A,-35%,-26%,-2%
Pontotoc County,-47%,-10%,N/A,N/A,-47%,-1%
Prentiss County,-37%,-3%,N/A,N/A,-13%,N/A
Quitman County,N/A,N/A,N/A,N/A,-48%,N/A
Rankin County,-49%,-3%,-63%,-41%,-28%,+11%
Scott County,-42%,-4%,N/A,-39%,-25%,N/A
Simpson County,-42%,-9%,N/A,-30%,-17%,N/A
Smith County,N/A,-35%,N/A,N/A,-48%,N/A
Stone County,-29%,-26%,N/A,N/A,-31%,N/A
Sunflower County,-21%,-1%,N/A,-11%,-20%,N/A
Tallahatchie County,N/A,+13%,N/A,N/A,-41%,N/A
Tate County,-31%,-2%,N/A,+8%,-27%,N/A
Tippah County,-35%,-14%,N/A,N/A,-33%,N/A
Tishomingo County,-26%,+0%,N/A,N/A,-24%,N/A
Tunica County,-50%,-12%,N/A,N/A,-50%,N/A
Union County,-42%,-16%,N/A,-32%,-39%,N/A
Walthall County,-58%,-11%,N/A,N/A,-35%,N/A
Warren County,-32%,-2%,-42%,N/A,-27%,+16%
Washington County,-28%,+9%,N/A,N/A,-23%,+12%
Wayne County,-42%,-14%,N/A,N/A,-20%,N/A
Webster County,-44%,-18%,N/A,N/A,-49%,N/A
Wilkinson County,N/A,-22%,N/A,N/A,-51%,N/A
Winston County,-27%,-2%,N/A,N/A,-20%,N/A
Yalobusha County,N/A,-8%,N/A,N/A,-51%,N/A
Yazoo County,-40%,-8%,N/A,N/A,-18%,N/A
