X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USMontana,-55%,-11%,-51%,-46%,-39%,+15%
Beaverhead County,-39%,-20%,N/A,N/A,-34%,N/A
Big Horn County,-31%,-7%,N/A,-20%,-38%,N/A
Blaine County,N/A,N/A,N/A,N/A,-51%,N/A
Broadwater County,-67%,-5%,N/A,N/A,-43%,N/A
Carbon County,-61%,-21%,N/A,N/A,-47%,N/A
Cascade County,-58%,-26%,-60%,-73%,-41%,+15%
Custer County,-35%,N/A,N/A,N/A,-36%,N/A
Dawson County,-60%,-2%,N/A,N/A,-34%,N/A
Deer Lodge County,-51%,-12%,N/A,N/A,-40%,N/A
Fergus County,-38%,-22%,N/A,N/A,-38%,N/A
Flathead County,-49%,-12%,-56%,-41%,-39%,+13%
Gallatin County,-64%,-27%,-61%,-70%,-50%,+19%
Glacier County,-59%,-17%,N/A,N/A,-63%,N/A
Hill County,-32%,+4%,N/A,N/A,-32%,N/A
Jefferson County,-64%,N/A,N/A,N/A,-45%,N/A
Lake County,-26%,-9%,N/A,N/A,-29%,+1%
Lewis and Clark County,-55%,-22%,-56%,N/A,-41%,+19%
Lincoln County,-81%,-18%,N/A,N/A,-32%,N/A
Madison County,-100%,N/A,-62%,N/A,-59%,N/A
Mineral County,N/A,-61%,N/A,N/A,-38%,N/A
Missoula County,-54%,-19%,-44%,-41%,-41%,+15%
Park County,-49%,-16%,N/A,N/A,-45%,N/A
Pondera County,-56%,N/A,N/A,N/A,N/A,N/A
Powell County,N/A,N/A,N/A,N/A,-35%,N/A
Ravalli County,-35%,+6%,N/A,N/A,-35%,+12%
Richland County,-43%,-15%,N/A,N/A,-36%,N/A
Roosevelt County,-20%,-20%,N/A,N/A,-50%,N/A
Rosebud County,N/A,N/A,N/A,N/A,-40%,N/A
Sanders County,-60%,-24%,N/A,N/A,-39%,N/A
Silver Bow County,-44%,+3%,N/A,-35%,-40%,+11%
Stillwater County,-47%,N/A,N/A,-28%,-38%,N/A
Teton County,N/A,N/A,N/A,N/A,-34%,N/A
Valley County,-68%,N/A,N/A,N/A,-37%,N/A
Yellowstone County,-53%,-7%,-43%,-59%,-36%,+14%
