X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USNewJersey,-61%,-3%,-12%,-65%,-47%,+18%
Atlantic County,-60%,+6%,+56%,-62%,-56%,+17%
Bergen County,-72%,-5%,-21%,-56%,-55%,+21%
Burlington County,-57%,+17%,+3%,-41%,-38%,+16%
Camden County,-56%,+6%,-33%,-55%,-40%,+16%
Cape May County,-52%,+7%,+25%,-46%,-36%,+12%
Cumberland County,-36%,-2%,-12%,-26%,-27%,+12%
Essex County,-65%,-13%,-30%,-77%,-48%,+20%
Gloucester County,-52%,-5%,-8%,-8%,-37%,+15%
Hudson County,-64%,-16%,-51%,-70%,-58%,+21%
Hunterdon County,-62%,+14%,N/A,-38%,-45%,+32%
Mercer County,-63%,+30%,-2%,-72%,-42%,+17%
Middlesex County,-70%,-1%,-6%,-69%,-50%,+20%
Monmouth County,-63%,+13%,+24%,-49%,-43%,+17%
Morris County,-66%,+9%,+15%,-51%,-49%,+19%
Ocean County,-55%,+9%,+0%,-50%,-40%,+15%
Passaic County,-67%,-14%,+0%,-46%,-54%,+20%
Salem County,-37%,-16%,-18%,-61%,-28%,+22%
Somerset County,-68%,+10%,-12%,-46%,-47%,+20%
Sussex County,-49%,-1%,+42%,-45%,-40%,+16%
Union County,-63%,-12%,-40%,-53%,-52%,+20%
Warren County,-37%,-8%,+32%,-44%,-37%,+16%
