X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USNorthDakota,-48%,+1%,-18%,-43%,-28%,+15%
Barnes County,-34%,N/A,N/A,N/A,-41%,N/A
Bottineau County,-34%,N/A,N/A,N/A,-51%,N/A
Burleigh County,-51%,-8%,-15%,-54%,-32%,+14%
Cass County,-56%,-11%,+8%,-38%,-32%,+15%
Dunn County,-56%,-17%,-54%,N/A,N/A,N/A
Grand Forks County,-51%,+1%,-53%,-51%,-31%,+24%
McKenzie County,-48%,-21%,N/A,-45%,-31%,N/A
McLean County,-63%,N/A,N/A,N/A,-40%,N/A
Mercer County,N/A,+6%,N/A,N/A,-41%,N/A
Morton County,-45%,+6%,N/A,-11%,-35%,+19%
Mountrail County,-67%,-25%,N/A,N/A,-36%,N/A
Pembina County,N/A,N/A,N/A,N/A,-44%,N/A
Ramsey County,-42%,-16%,N/A,N/A,-41%,N/A
Ransom County,N/A,N/A,N/A,N/A,-56%,N/A
Richland County,-38%,+2%,N/A,N/A,-29%,N/A
Rolette County,-33%,N/A,N/A,N/A,-57%,N/A
Sargent County,N/A,N/A,N/A,N/A,-56%,N/A
Stark County,-41%,+3%,N/A,N/A,-23%,+14%
Stutsman County,-34%,-16%,N/A,N/A,-25%,N/A
Traill County,N/A,N/A,N/A,N/A,-50%,N/A
Walsh County,-33%,N/A,N/A,N/A,-41%,N/A
Ward County,-42%,+10%,N/A,-57%,-30%,+21%
Williams County,-37%,+4%,N/A,-37%,-29%,+21%
