X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USOklahoma,-38%,-1%,-8%,-27%,-32%,+12%
Adair County,-22%,+8%,N/A,N/A,-33%,N/A
Atoka County,-31%,-24%,N/A,-33%,-28%,N/A
Beckham County,-31%,-8%,N/A,-20%,-22%,N/A
Blaine County,-30%,-4%,N/A,N/A,-36%,N/A
Bryan County,-36%,-19%,N/A,-38%,-31%,+16%
Caddo County,-12%,+7%,N/A,-23%,-25%,N/A
Canadian County,-34%,-14%,+26%,-17%,-35%,+14%
Carter County,-37%,+9%,N/A,-25%,-29%,+15%
Cherokee County,-26%,-1%,N/A,N/A,-31%,+18%
Choctaw County,-25%,-5%,N/A,N/A,-21%,N/A
Cleveland County,-46%,-9%,-28%,N/A,-37%,+14%
Coal County,N/A,N/A,N/A,N/A,-38%,N/A
Comanche County,-49%,+0%,-18%,-33%,-36%,+13%
Cotton County,N/A,-23%,N/A,-51%,-41%,N/A
Craig County,-18%,-25%,N/A,-2%,-22%,N/A
Creek County,-20%,+12%,-37%,N/A,-30%,+17%
Custer County,-30%,-8%,N/A,-24%,-33%,N/A
Delaware County,-17%,+22%,N/A,-22%,-25%,+13%
Garfield County,-30%,+6%,-54%,-31%,-23%,+16%
Garvin County,-25%,+2%,-56%,-20%,-24%,-4%
Grady County,-35%,+6%,N/A,N/A,-24%,+16%
Greer County,N/A,N/A,N/A,N/A,-43%,N/A
Haskell County,-20%,-12%,N/A,N/A,-30%,N/A
Hughes County,-6%,+8%,N/A,N/A,-24%,N/A
Jackson County,-43%,-2%,N/A,N/A,-20%,+9%
Jefferson County,N/A,-4%,N/A,N/A,-46%,N/A
Johnston County,-58%,+9%,N/A,N/A,-40%,N/A
Kay County,-17%,+17%,N/A,-32%,-28%,+17%
Kingfisher County,-24%,N/A,N/A,N/A,-36%,N/A
Kiowa County,-15%,-2%,N/A,N/A,-32%,N/A
Latimer County,-26%,-11%,N/A,N/A,-44%,N/A
Le Flore County,-28%,+5%,N/A,N/A,-29%,+11%
Lincoln County,-35%,-5%,N/A,N/A,-26%,+12%
Logan County,-40%,-3%,N/A,-18%,-25%,+17%
Love County,-50%,-13%,N/A,N/A,-44%,N/A
Major County,N/A,N/A,N/A,N/A,-38%,N/A
Marshall County,-29%,+7%,N/A,N/A,-21%,N/A
Mayes County,-29%,+3%,N/A,-22%,-24%,+16%
McClain County,-23%,-7%,N/A,-52%,-36%,+15%
McCurtain County,-34%,-4%,+2%,-23%,-22%,+7%
McIntosh County,-31%,+24%,N/A,-24%,-23%,N/A
Murray County,-31%,+0%,-19%,N/A,-35%,N/A
Muskogee County,-32%,+10%,+19%,-28%,-23%,+14%
Noble County,-40%,-7%,N/A,-62%,-50%,N/A
Nowata County,-51%,-2%,N/A,-28%,-52%,N/A
Okfuskee County,-41%,-4%,N/A,-41%,-44%,N/A
Oklahoma County,-45%,-4%,-17%,-34%,-35%,+13%
Okmulgee County,-19%,+0%,N/A,-27%,-26%,+15%
Osage County,-18%,+12%,N/A,N/A,-28%,+17%
Ottawa County,-21%,-2%,N/A,N/A,-34%,+10%
Pawnee County,-32%,-11%,N/A,N/A,-26%,N/A
Payne County,-43%,-12%,+10%,N/A,-31%,+21%
Pittsburg County,-36%,+12%,-38%,-49%,-27%,+13%
Pontotoc County,-35%,-6%,N/A,N/A,-33%,+15%
Pottawatomie County,-39%,+13%,-56%,N/A,-32%,+19%
Pushmataha County,-37%,+4%,N/A,N/A,-33%,N/A
Rogers County,-34%,+3%,+16%,N/A,-32%,+12%
Seminole County,-20%,+13%,N/A,-11%,-26%,N/A
Sequoyah County,-23%,+4%,N/A,-25%,-28%,+12%
Stephens County,-34%,+2%,N/A,N/A,-28%,+15%
Texas County,-31%,-12%,N/A,-28%,-25%,N/A
Tillman County,-14%,+0%,N/A,N/A,-48%,N/A
Tulsa County,-44%,+0%,-31%,-6%,-36%,+12%
Wagoner County,-12%,+4%,N/A,N/A,-34%,+18%
Washington County,-40%,+7%,N/A,N/A,-28%,+17%
Washita County,N/A,-17%,N/A,N/A,-31%,N/A
Woods County,-19%,N/A,+4%,N/A,-38%,N/A
Woodward County,-39%,-11%,N/A,N/A,-18%,N/A
