X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USTennessee,-40%,+2%,+11%,-36%,-33%,+10%
Anderson County,-35%,+8%,+12%,N/A,-28%,+9%
Bedford County,-24%,+7%,N/A,N/A,-34%,+19%
Benton County,-66%,+83%,N/A,-35%,-32%,N/A
Bledsoe County,-7%,+18%,N/A,N/A,-48%,N/A
Blount County,-33%,+8%,+65%,-78%,-37%,+9%
Bradley County,-37%,+6%,N/A,-30%,-34%,+9%
Campbell County,-14%,+0%,+4%,-37%,-22%,+12%
Cannon County,+0%,+12%,N/A,N/A,-34%,N/A
Carroll County,-37%,+4%,N/A,N/A,-25%,+4%
Carter County,-21%,+14%,+16%,N/A,-27%,+18%
Cheatham County,-43%,+66%,N/A,-34%,-32%,+18%
Chester County,-19%,-4%,N/A,N/A,-21%,N/A
Claiborne County,-32%,+46%,N/A,N/A,-27%,-2%
Clay County,N/A,N/A,N/A,N/A,-44%,N/A
Cocke County,-20%,+21%,+2%,-20%,-42%,+12%
Coffee County,-32%,+3%,N/A,-59%,-32%,+19%
Crockett County,-34%,+4%,N/A,N/A,-31%,N/A
Cumberland County,-29%,-7%,N/A,-31%,-31%,+16%
Davidson County,-51%,-10%,-44%,-62%,-41%,+13%
DeKalb County,-12%,+18%,N/A,N/A,-34%,N/A
Decatur County,-20%,+22%,N/A,N/A,-44%,N/A
Dickson County,-36%,+0%,N/A,-32%,-30%,+20%
Dyer County,-30%,-4%,N/A,-23%,-23%,+10%
Fayette County,-17%,+52%,N/A,-42%,-26%,+9%
Fentress County,-26%,+1%,N/A,N/A,-9%,N/A
Franklin County,-16%,+14%,N/A,N/A,-36%,+15%
Gibson County,-19%,+20%,N/A,N/A,-30%,+19%
Giles County,-21%,+13%,N/A,-52%,-27%,+8%
Grainger County,-39%,+4%,N/A,N/A,-26%,N/A
Greene County,-29%,+0%,N/A,-17%,-26%,+7%
Grundy County,-66%,-12%,N/A,N/A,-44%,N/A
Hamblen County,-36%,+4%,N/A,N/A,-33%,+18%
Hamilton County,-48%,-2%,-25%,-32%,-36%,+12%
Hancock County,N/A,N/A,N/A,N/A,-55%,N/A
Hardeman County,-36%,-2%,N/A,N/A,-37%,N/A
Hardin County,-29%,+9%,N/A,N/A,-23%,N/A
Hawkins County,-18%,+17%,N/A,N/A,-19%,+18%
Haywood County,-25%,+4%,N/A,N/A,-26%,N/A
Henderson County,-26%,+11%,N/A,N/A,-33%,-1%
Henry County,-34%,+9%,N/A,N/A,-26%,+13%
Hickman County,-32%,+5%,N/A,N/A,-27%,-3%
Houston County,-70%,-6%,N/A,N/A,-53%,N/A
Humphreys County,-29%,-5%,N/A,N/A,-31%,N/A
Jackson County,N/A,+2%,N/A,N/A,-53%,N/A
Jefferson County,-22%,+13%,N/A,-35%,-36%,+18%
Johnson County,-22%,+0%,N/A,N/A,-20%,N/A
Knox County,-44%,-2%,+11%,-32%,-36%,+10%
Lauderdale County,-20%,+19%,N/A,N/A,-27%,N/A
Lawrence County,-34%,+4%,N/A,N/A,-26%,+13%
Lewis County,-20%,+17%,N/A,N/A,-50%,N/A
Lincoln County,-24%,+10%,N/A,N/A,-20%,+7%
Loudon County,-24%,+10%,N/A,-31%,-28%,+17%
Macon County,-32%,-4%,N/A,N/A,-23%,N/A
Madison County,-48%,-13%,-51%,-44%,-37%,+11%
Marion County,-31%,-14%,+10%,-28%,-32%,+0%
Marshall County,-16%,+6%,N/A,-47%,-32%,+17%
Maury County,-40%,-2%,-33%,-34%,-36%,+10%
McMinn County,-33%,+9%,N/A,-53%,-32%,+18%
McNairy County,-23%,+5%,N/A,-26%,-20%,N/A
Meigs County,-25%,+32%,N/A,N/A,-37%,N/A
Monroe County,-24%,+40%,N/A,N/A,-30%,+15%
Montgomery County,-38%,+3%,+58%,-24%,-33%,+10%
Moore County,N/A,N/A,N/A,N/A,-52%,N/A
Morgan County,+7%,+3%,N/A,N/A,-21%,N/A
Obion County,-33%,+13%,N/A,N/A,-28%,+6%
Overton County,-23%,+0%,N/A,N/A,-25%,N/A
Perry County,-59%,N/A,N/A,N/A,-50%,N/A
Polk County,-41%,+2%,N/A,N/A,-31%,N/A
Putnam County,-44%,-10%,N/A,-29%,-28%,+7%
Rhea County,-19%,+8%,N/A,N/A,-28%,+11%
Roane County,-25%,+10%,-24%,N/A,-27%,+17%
Robertson County,-22%,+16%,N/A,-27%,-34%,+21%
Rutherford County,-40%,-2%,+72%,-21%,-34%,+11%
Scott County,-28%,+9%,N/A,N/A,-19%,N/A
Sequatchie County,-35%,+7%,N/A,N/A,-25%,N/A
Sevier County,-72%,-27%,-70%,N/A,-57%,+13%
Shelby County,-38%,+4%,-45%,-20%,-29%,+11%
Smith County,-30%,+22%,N/A,-26%,-18%,N/A
Stewart County,-23%,+15%,N/A,N/A,-49%,N/A
Sullivan County,-37%,+2%,+41%,-41%,-28%,+8%
Sumner County,-40%,+1%,+91%,N/A,-35%,+11%
Tipton County,-23%,+22%,N/A,N/A,-21%,+20%
Trousdale County,-37%,+11%,N/A,N/A,-52%,N/A
Unicoi County,-25%,+16%,N/A,N/A,-28%,N/A
Union County,+9%,+0%,N/A,N/A,-25%,N/A
Van Buren County,N/A,N/A,N/A,N/A,-58%,N/A
Warren County,-18%,+21%,N/A,N/A,-24%,+14%
Washington County,-50%,-5%,+38%,-23%,-33%,+9%
Wayne County,-29%,+16%,N/A,N/A,-50%,N/A
Weakley County,-40%,+2%,N/A,N/A,-28%,+7%
White County,-33%,+19%,N/A,N/A,-19%,-1%
Williamson County,-51%,-8%,+47%,-39%,-37%,+13%
