X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USTexas,-45%,-14%,-54%,-49%,-38%,+16%
Anderson County,-35%,-2%,N/A,N/A,-24%,+16%
Andrews County,-45%,-40%,N/A,-13%,-36%,N/A
Angelina County,-46%,-4%,-20%,-38%,-29%,+13%
Aransas County,-45%,-31%,-57%,N/A,-27%,+10%
Archer County,N/A,N/A,N/A,N/A,-42%,N/A
Atascosa County,-22%,-4%,N/A,-50%,-25%,+22%
Austin County,-33%,-22%,N/A,N/A,-29%,+1%
Bailey County,-24%,-8%,N/A,N/A,-35%,N/A
Bandera County,-45%,-5%,-71%,N/A,-30%,N/A
Bastrop County,-37%,-21%,-66%,N/A,-36%,+16%
Bee County,-31%,-8%,N/A,N/A,-26%,-1%
Bell County,-37%,-18%,-25%,-43%,-34%,+13%
Bexar County,-45%,-10%,-73%,-43%,-41%,+16%
Blanco County,-67%,-20%,-71%,N/A,-35%,N/A
Bosque County,-37%,-7%,N/A,N/A,-16%,N/A
Bowie County,-47%,-12%,-29%,-39%,-30%,+13%
Brazoria County,-36%,-8%,-23%,-28%,-32%,+15%
Brazos County,-47%,-21%,-30%,-64%,-35%,+15%
Brewster County,-52%,-43%,N/A,N/A,-50%,N/A
Brooks County,-55%,-9%,N/A,-55%,-44%,N/A
Brown County,-37%,-6%,N/A,N/A,-23%,+16%
Burleson County,-34%,-10%,N/A,N/A,-29%,N/A
Burnet County,-36%,-14%,-62%,N/A,-32%,+17%
Caldwell County,-36%,-31%,N/A,-32%,-33%,+23%
Calhoun County,-39%,-17%,-38%,N/A,-20%,N/A
Callahan County,-30%,-15%,N/A,-33%,-20%,N/A
Cameron County,-62%,-35%,-74%,-71%,-42%,+22%
Camp County,-32%,-9%,N/A,N/A,-35%,N/A
Carson County,N/A,-24%,N/A,-23%,-52%,N/A
Cass County,-36%,-3%,N/A,-28%,-26%,+6%
Castro County,N/A,-20%,N/A,N/A,-31%,N/A
Chambers County,-43%,-2%,-55%,-56%,-35%,+20%
Cherokee County,-21%,+1%,N/A,N/A,-29%,+17%
