X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Vermont,-54%,-23%,-4%,-64%,-44%,+15%
Addison County,-46%,-32%,N/A,N/A,-32%,+6%
Bennington County,-55%,-24%,-35%,N/A,-46%,+8%
Caledonia County,-57%,-29%,N/A,N/A,-32%,+2%
Chittenden County,-57%,-39%,+1%,-63%,-48%,+17%
Essex County,N/A,N/A,N/A,N/A,-42%,N/A
Franklin County,-44%,-25%,N/A,N/A,-36%,+21%
Grand Isle County,N/A,N/A,N/A,-63%,-57%,N/A
Lamoille County,-76%,-35%,N/A,-40%,-63%,N/A
Orange County,-70%,-14%,N/A,-68%,-28%,+1%
Orleans County,-58%,-15%,-46%,N/A,-37%,+0%
Rutland County,-50%,-10%,N/A,-76%,-47%,+23%
Washington County,-56%,-21%,N/A,-47%,-43%,+23%
Windham County,-65%,-27%,-36%,N/A,-50%,+15%
Windsor County,-55%,-40%,-24%,-57%,-43%,+24%
