X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Wyoming,-41%,-2%,-25%,-15%,-30%,+12%
Albany County,-40%,-20%,-4%,+8%,-32%,+16%
Big Horn County,-37%,-7%,N/A,N/A,-34%,N/A
Campbell County,-40%,+8%,N/A,-18%,-28%,+16%
Carbon County,-36%,-23%,N/A,-4%,-27%,N/A
Converse County,-42%,-9%,N/A,-35%,-27%,N/A
Crook County,N/A,N/A,N/A,N/A,-29%,N/A
Fremont County,-32%,-8%,N/A,N/A,-31%,+13%
Goshen County,-26%,-13%,N/A,N/A,-24%,N/A
Hot Springs County,-64%,-20%,-62%,N/A,N/A,N/A
Johnson County,-35%,-2%,N/A,N/A,-37%,N/A
Laramie County,-38%,-2%,+23%,-16%,-31%,+12%
Lincoln County,-51%,-16%,N/A,N/A,-27%,N/A
Natrona County,-40%,+2%,+22%,-42%,-33%,+12%
Park County,-50%,+12%,N/A,N/A,-25%,+5%
Platte County,-21%,-11%,N/A,-38%,-31%,N/A
Sheridan County,-51%,+5%,N/A,N/A,-34%,+12%
Sublette County,-70%,-33%,N/A,N/A,-40%,N/A
Sweetwater County,-35%,+13%,N/A,+15%,-27%,+15%
Teton County,-85%,-53%,-63%,-83%,-66%,N/A
Uinta County,-31%,-11%,N/A,+2%,-22%,N/A
Washakie County,-28%,-23%,N/A,N/A,-40%,N/A
Weston County,-57%,-19%,N/A,N/A,-43%,N/A
