X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
UY,-68%,-29%,-75%,-63%,-43%,+20%
Artigas Department,-55%,-27%,-60%,-55%,-28%,-3%
Canelones Department,-65%,-34%,-75%,-66%,-41%,+20%
Cerro Largo Department,-66%,-47%,-68%,-53%,-31%,+13%
Colonia Department,-73%,-34%,-82%,-82%,-40%,+22%
Durazno Department,-65%,-28%,-60%,-83%,-26%,-2%
Flores Department,-67%,-31%,-64%,N/A,-25%,N/A
Florida Department,-57%,-10%,-70%,-60%,-35%,+13%
Lavalleja Department,-47%,-24%,-72%,-67%,-39%,-2%
Maldonado Department,-86%,-57%,-91%,-82%,-59%,+24%
Montevideo Department,-65%,-19%,-65%,-51%,-45%,+22%
Paysandú Department,-57%,+3%,-69%,-68%,-36%,+16%
Rivera Department,-64%,-17%,-65%,-61%,-35%,+14%
Rocha Department,-85%,-69%,-91%,-90%,-40%,+9%
Río Negro Department,-66%,-33%,-80%,-59%,-36%,-3%
Salto Department,-56%,-16%,-66%,-67%,-32%,+17%
San José Department,-60%,-22%,-68%,-53%,-36%,+27%
Soriano Department,-57%,-29%,-74%,N/A,-33%,+13%
Tacuarembó Department,-61%,-25%,-72%,-68%,-36%,+14%
Treinta y Tres Department,-55%,-5%,-70%,-68%,-29%,N/A
