X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
2020-04-11_BB,-77%,-62%,-67%,-81%,-67%,+25%
Christ Church,-87%,-71%,-82%,-86%,-69%,+17%
Saint George,-35%,N/A,-55%,N/A,-68%,N/A
Saint James,-93%,-100%,N/A,N/A,-69%,N/A
Saint John,N/A,N/A,N/A,N/A,-74%,N/A
Saint Lucy,N/A,N/A,N/A,N/A,-83%,N/A
Saint Michael,-79%,-63%,-81%,-80%,-67%,+14%
Saint Peter,-75%,-12%,N/A,N/A,-67%,N/A
Saint Philip,-85%,-100%,N/A,N/A,-61%,N/A
Saint Thomas,-40%,N/A,N/A,N/A,-59%,N/A
