X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
2020-04-11_EG,-67%,-18%,-42%,-62%,-45%,+16%
Al Qalyubia Governorate,-56%,-8%,-35%,-48%,-46%,+17%
Alexandria Governorate,-69%,-21%,-41%,-60%,-46%,+18%
Ash Sharqia Governorate,-51%,+1%,-34%,-48%,-38%,+14%
Assiut Governorate,-61%,-15%,-43%,-50%,-37%,+13%
Aswan Governorate,-64%,-32%,+5%,-69%,-36%,+15%
Beni Suef Governorate,-54%,-2%,-64%,-53%,-39%,+14%
Cairo Governorate,-75%,-28%,-56%,-65%,-51%,+18%
Dakahlia Governorate,-58%,-7%,+4%,-55%,-44%,+13%
Damietta Governorate,-62%,-24%,-54%,N/A,-51%,+17%
El Beheira Governorate,-53%,+13%,-18%,-48%,-37%,+14%
Faiyum Governorate,-51%,+6%,-42%,N/A,-38%,+14%
Gharbia Governorate,-60%,-14%,-60%,-64%,-45%,+15%
Giza Governorate,-71%,-18%,-58%,-58%,-48%,+18%
Ismailia Governorate,-64%,-18%,-43%,-51%,-43%,+16%
Kafr El Sheikh Governorate,-49%,+1%,-37%,-62%,-38%,+12%
Luxor Governorate,-59%,-27%,-60%,-91%,-37%,+15%
Matrouh Governorate,-44%,-8%,+36%,N/A,-32%,+5%
Menia Governorate,-53%,+8%,-52%,-53%,-38%,+13%
Menofia Governorate,-56%,+7%,-32%,-53%,-39%,+15%
New Valley Governorate,-2%,N/A,N/A,N/A,-25%,N/A
North Sinai Governorate,-8%,N/A,N/A,N/A,-32%,N/A
Port Said Governorate,-68%,-22%,-51%,-63%,-49%,+21%
Qena Governorate,-58%,+10%,N/A,-55%,-38%,+13%
Red Sea Governorate,-79%,-38%,-78%,-86%,-52%,+23%
Sohag Governorate,-57%,+5%,-35%,-62%,-37%,+12%
South Sinai Governorate,-86%,-69%,-74%,-89%,-48%,+18%
Suez Governorate,-55%,+19%,+42%,N/A,-34%,+15%
