X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
2020-04-11_LT,-69%,-22%,-13%,-59%,-39%,+16%
Alytus County,-71%,-34%,-4%,-65%,-41%,+18%
Kaunas County,-70%,-20%,-21%,-63%,-40%,+16%
Klaipėda County,-68%,-17%,-43%,-52%,-41%,+15%
Marijampolė County,-67%,-39%,-20%,-52%,-40%,+17%
Panevėžys County,-68%,-25%,-21%,-59%,-36%,+17%
Tauragė County,-56%,-14%,N/A,-54%,-28%,+13%
Telšiai County,-67%,-25%,-10%,-39%,-31%,+16%
Utena County,-65%,-21%,-5%,-43%,-33%,+16%
Vilnius County,-70%,-19%,+8%,-63%,-43%,+17%
Šiauliai County,-69%,-29%,-20%,-14%,-33%,+13%
