X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
2020-04-11_SE,-41%,-15%,+84%,-36%,-24%,+6%
Blekinge County,-20%,-6%,+26%,-16%,-17%,+18%
Dalarna County,-56%,-25%,+65%,-25%,-25%,+5%
Gavleborg County,-44%,-19%,+82%,-26%,-23%,+5%
Gotland County,-3%,-17%,N/A,-57%,-7%,+7%
Halland County,-28%,-7%,+30%,-17%,-22%,+6%
Jamtland County,-60%,-35%,+28%,-41%,-27%,+7%
Jonkoping County,-38%,-15%,+101%,-24%,-25%,+5%
Kalmar County,-25%,-8%,+81%,-13%,-19%,+5%
Kronoberg County,-36%,-13%,N/A,-25%,-20%,+20%
Norrbotten County,-59%,-29%,+112%,-25%,-27%,+0%
Skåne County,-32%,-12%,+98%,-38%,-20%,+5%
Stockholm County,-42%,-17%,+44%,-45%,-27%,+7%
Södermanland County,-37%,-14%,+41%,-34%,-20%,+6%
Uppsala County,-45%,-13%,+103%,-39%,-22%,+6%
Varmland County,-49%,-17%,+1%,-19%,-19%,+5%
Västerbotten County,-53%,-25%,+188%,-37%,-29%,+2%
Västernorrland County,-48%,-15%,-14%,-16%,-21%,+3%
Västmanland County,-38%,-13%,+43%,-33%,-20%,+6%
Västra Götaland County,-45%,-16%,+67%,-41%,-24%,+7%
Örebro County,-47%,-15%,+34%,-26%,-22%,+5%
Östergötland County,-40%,-16%,+118%,-34%,-23%,+5%
