X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Iowa,-44%,+7%,+40%,-28%,-28%,+12%
Adair County,-44%,+2%,N/A,N/A,-43%,N/A
Allamakee County,-75%,-5%,N/A,N/A,-38%,N/A
Appanoose County,-7%,+52%,N/A,N/A,-14%,N/A
Audubon County,N/A,N/A,N/A,N/A,-28%,N/A
Benton County,-16%,+25%,N/A,N/A,-33%,+8%
Black Hawk County,-47%,-3%,-15%,-14%,-30%,+12%
Boone County,-28%,-21%,N/A,N/A,-17%,+14%
Bremer County,-32%,-12%,N/A,N/A,-31%,-1%
Buchanan County,-29%,+0%,N/A,N/A,-17%,N/A
Buena Vista County,-31%,-15%,N/A,N/A,-17%,N/A
Butler County,N/A,+2%,N/A,N/A,-43%,N/A
Calhoun County,N/A,-12%,N/A,N/A,-37%,N/A
Carroll County,-29%,+13%,N/A,N/A,-26%,N/A
Cass County,-32%,+13%,N/A,N/A,-20%,N/A
Cedar County,-30%,+0%,N/A,-25%,-21%,N/A
Cerro Gordo County,-42%,+19%,N/A,-25%,-29%,+18%
Cherokee County,-76%,N/A,N/A,N/A,-32%,N/A
Chickasaw County,-25%,-18%,N/A,N/A,-39%,N/A
Clarke County,-27%,N/A,N/A,-36%,-27%,N/A
Clay County,-34%,-12%,N/A,N/A,-20%,N/A
Clayton County,-59%,+7%,N/A,N/A,-19%,N/A
Clinton County,-38%,+12%,N/A,N/A,-26%,+18%
Crawford County,-38%,N/A,N/A,N/A,-27%,N/A
Dallas County,-67%,-28%,N/A,N/A,-32%,+24%
Davis County,-44%,N/A,N/A,N/A,-31%,N/A
Decatur County,N/A,N/A,N/A,N/A,-29%,N/A
Delaware County,-33%,+19%,N/A,N/A,-15%,N/A
Des Moines County,-40%,+14%,N/A,-24%,-23%,+16%
Dickinson County,-33%,+12%,+12%,N/A,-31%,N/A
Dubuque County,-53%,+9%,-12%,-59%,-37%,+14%
Emmet County,-17%,+11%,N/A,N/A,-49%,N/A
Fayette County,-15%,+7%,N/A,N/A,-21%,N/A
Floyd County,-28%,-12%,N/A,-16%,-8%,N/A
Franklin County,-39%,+7%,N/A,N/A,-31%,N/A
Fremont County,-45%,N/A,N/A,-16%,-35%,N/A
Greene County,-45%,+4%,N/A,N/A,-40%,N/A
Grundy County,-64%,-25%,N/A,N/A,-44%,N/A
Guthrie County,N/A,N/A,N/A,N/A,-34%,N/A
Hamilton County,-23%,-3%,N/A,-25%,-6%,N/A
Hancock County,N/A,-2%,N/A,N/A,-44%,N/A
Hardin County,-40%,+26%,N/A,N/A,-17%,N/A
Harrison County,-30%,+3%,N/A,N/A,-17%,N/A
Henry County,-27%,+12%,N/A,-20%,-21%,N/A
Howard County,-37%,+4%,N/A,N/A,-46%,N/A
Humboldt County,-39%,-7%,N/A,N/A,-46%,N/A
Ida County,-64%,N/A,N/A,N/A,-25%,N/A
Iowa County,-71%,+4%,N/A,N/A,-31%,N/A
Jackson County,-26%,+16%,N/A,N/A,-25%,N/A
Jasper County,-44%,+97%,N/A,-9%,-28%,+12%
Jefferson County,-39%,N/A,N/A,N/A,-27%,N/A
Johnson County,-55%,-24%,+35%,-28%,-37%,+15%
Jones County,-37%,+14%,N/A,N/A,-21%,N/A
Keokuk County,-66%,N/A,N/A,N/A,-33%,N/A
Kossuth County,-62%,+60%,N/A,N/A,-27%,N/A
Lee County,-28%,-1%,N/A,N/A,-21%,+13%
Linn County,-51%,+10%,+37%,-53%,-35%,+13%
Louisa County,N/A,N/A,N/A,N/A,-51%,N/A
Lucas County,-59%,+8%,N/A,N/A,-25%,N/A
Lyon County,-70%,N/A,N/A,N/A,-42%,N/A
Madison County,-46%,+26%,N/A,N/A,-29%,N/A
Mahaska County,-32%,N/A,N/A,N/A,-19%,N/A
Marion County,-35%,+43%,N/A,N/A,-35%,+13%
Marshall County,-34%,+7%,N/A,N/A,-23%,+17%
Mills County,-8%,N/A,N/A,N/A,-27%,N/A
Mitchell County,-67%,N/A,N/A,N/A,-38%,N/A
Monona County,-25%,N/A,N/A,N/A,-38%,N/A
Monroe County,-51%,N/A,N/A,N/A,-40%,N/A
Montgomery County,-42%,-3%,N/A,N/A,-26%,N/A
Muscatine County,-36%,+51%,N/A,N/A,-30%,+21%
O'Brien County,-17%,-9%,N/A,N/A,-11%,N/A
Osceola County,N/A,N/A,N/A,N/A,-41%,N/A
Page County,-43%,N/A,N/A,N/A,-20%,N/A
Palo Alto County,-33%,-18%,N/A,N/A,-40%,N/A
Plymouth County,-32%,+16%,N/A,N/A,-27%,+8%
Pocahontas County,N/A,N/A,N/A,N/A,-37%,N/A
Polk County,-49%,+5%,+27%,-42%,-32%,+13%
Pottawattamie County,-40%,+17%,+53%,-18%,-31%,+11%
Poweshiek County,-23%,-5%,N/A,-18%,-28%,N/A
Sac County,N/A,N/A,N/A,N/A,-32%,N/A
Scott County,-48%,-2%,+30%,-12%,-33%,+13%
Shelby County,-20%,-14%,N/A,N/A,-37%,N/A
Sioux County,-33%,+11%,N/A,N/A,-17%,+16%
Story County,-48%,-9%,N/A,-28%,-37%,+22%
Tama County,-42%,-7%,N/A,N/A,-34%,N/A
Taylor County,N/A,N/A,N/A,N/A,-21%,N/A
Union County,-22%,N/A,N/A,N/A,-29%,N/A
Van Buren County,N/A,N/A,N/A,N/A,-42%,N/A
Wapello County,-38%,+19%,N/A,N/A,-25%,+11%
Warren County,-33%,+7%,N/A,N/A,-31%,+15%
Washington County,-23%,-9%,N/A,N/A,-23%,-3%
Wayne County,N/A,N/A,N/A,N/A,-31%,N/A
Webster County,-34%,+44%,N/A,N/A,-20%,+17%
Winnebago County,-45%,-16%,N/A,N/A,-50%,N/A
Winneshiek County,-56%,-17%,N/A,N/A,-36%,N/A
Woodbury County,-44%,+4%,N/A,-13%,-24%,+11%
Worth County,N/A,-31%,N/A,N/A,-44%,N/A
Wright County,-27%,+4%,N/A,N/A,-17%,N/A
