X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Missouri,-44%,+1%,+16%,-36%,-32%,+12%
Adair County,-50%,+57%,N/A,N/A,-29%,-1%
Andrew County,-68%,+12%,N/A,N/A,-24%,N/A
Audrain County,-28%,+2%,N/A,N/A,-23%,+6%
Barry County,-32%,+10%,N/A,N/A,-23%,+11%
Barton County,-23%,N/A,N/A,N/A,-34%,N/A
Bates County,-27%,+30%,N/A,N/A,-19%,N/A
Benton County,-48%,+136%,N/A,N/A,-32%,N/A
Bollinger County,-50%,-9%,N/A,N/A,-45%,N/A
Boone County,-54%,+11%,-13%,-61%,-34%,+12%
Buchanan County,-39%,+21%,N/A,-17%,-30%,+10%
Butler County,-33%,-3%,N/A,N/A,-22%,+13%
Caldwell County,N/A,N/A,N/A,N/A,-28%,N/A
Callaway County,-40%,+6%,N/A,N/A,-18%,+18%
Camden County,-43%,+2%,N/A,N/A,-32%,+14%
Cape Girardeau County,-50%,-17%,+0%,N/A,-35%,+18%
Carroll County,-30%,N/A,N/A,N/A,-34%,N/A
Cass County,-34%,+1%,+6%,-23%,-30%,+11%
Cedar County,-23%,-12%,N/A,N/A,-27%,N/A
Chariton County,N/A,N/A,N/A,N/A,-39%,N/A
Christian County,-36%,+2%,-34%,N/A,-30%,+12%
Clark County,N/A,-8%,N/A,-35%,-28%,N/A
Clay County,-43%,+7%,+146%,-27%,-37%,+13%
Clinton County,-54%,-10%,N/A,N/A,-20%,N/A
Cole County,-43%,+1%,N/A,N/A,-27%,+22%
Cooper County,-30%,-2%,N/A,-17%,-21%,N/A
Crawford County,-32%,+1%,N/A,-18%,-28%,N/A
Dade County,N/A,N/A,N/A,N/A,-38%,N/A
Dallas County,-10%,+17%,N/A,N/A,-25%,N/A
Daviess County,N/A,N/A,N/A,N/A,-26%,N/A
DeKalb County,-11%,+3%,N/A,N/A,-34%,N/A
Dent County,-17%,N/A,N/A,N/A,-11%,N/A
Douglas County,-24%,-21%,N/A,N/A,-33%,N/A
Dunklin County,-26%,+21%,N/A,N/A,-9%,N/A
Franklin County,-39%,+16%,+22%,-23%,-28%,+12%
Gasconade County,-34%,N/A,N/A,N/A,-30%,N/A
Gentry County,N/A,N/A,N/A,N/A,-50%,N/A
Greene County,-55%,-22%,-25%,-35%,-36%,+12%
Grundy County,-2%,+2%,N/A,N/A,-27%,N/A
