X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Pennsylvania,-47%,-12%,+19%,-50%,-40%,+15%
Adams County,-54%,-3%,+16%,N/A,-40%,+14%
Allegheny County,-54%,-8%,+8%,-52%,-45%,+15%
Armstrong County,-35%,+5%,N/A,N/A,-33%,+24%
Beaver County,-42%,+2%,+14%,-52%,-42%,+14%
Bedford County,-45%,+10%,N/A,-79%,-28%,+18%
Berks County,-45%,-14%,+53%,-38%,-43%,+15%
Blair County,-51%,-6%,-36%,-35%,-34%,+12%
Bradford County,-31%,+10%,N/A,N/A,-18%,+22%
Bucks County,-47%,-24%,+54%,-44%,-41%,+16%
Butler County,-47%,-35%,+0%,-31%,-40%,+14%
Cambria County,-46%,-3%,N/A,N/A,-32%,+12%
Carbon County,-35%,-7%,-13%,N/A,-38%,+24%
Centre County,-64%,-21%,-5%,-45%,-47%,+15%
Chester County,-49%,-24%,+12%,-69%,-40%,+15%
Clarion County,-46%,-13%,N/A,N/A,-23%,+10%
Clearfield County,-39%,-5%,-34%,-7%,-27%,+11%
Clinton County,-28%,-13%,N/A,-38%,-27%,+17%
Columbia County,-44%,+11%,N/A,-32%,-34%,+26%
Crawford County,-35%,+11%,N/A,N/A,-38%,+24%
Cumberland County,-51%,-9%,+83%,-31%,-38%,+14%
Dauphin County,-53%,-24%,+28%,-55%,-37%,+14%
Delaware County,-44%,-14%,+57%,-39%,-40%,+16%
Elk County,-32%,-8%,N/A,N/A,-38%,+8%
Erie County,-46%,+6%,+80%,-39%,-40%,+13%
Fayette County,-35%,+8%,-34%,N/A,-36%,+11%
Franklin County,-38%,-6%,-15%,-24%,-35%,+12%
Fulton County,-12%,-27%,N/A,-65%,-53%,N/A
Greene County,-33%,-10%,N/A,N/A,-30%,+3%
Huntingdon County,-36%,+4%,N/A,N/A,-25%,+18%
Indiana County,-43%,-11%,N/A,N/A,-29%,+25%
Jefferson County,-35%,-4%,N/A,-29%,-24%,+16%
Juniata County,-48%,-34%,N/A,N/A,-42%,N/A
Lackawanna County,-49%,+0%,+64%,-42%,-37%,+13%
Lancaster County,-51%,-19%,+36%,-54%,-39%,+15%
Lawrence County,-33%,+0%,-50%,N/A,-29%,+11%
Lebanon County,-39%,-6%,-42%,-33%,-37%,+14%
Lehigh County,-53%,-16%,+46%,-54%,-41%,+16%
Luzerne County,-50%,-6%,+51%,-31%,-40%,+14%
Lycoming County,-46%,-1%,-28%,-29%,-33%,+12%
McKean County,-41%,-3%,N/A,N/A,-28%,+16%
Mercer County,-49%,-17%,N/A,N/A,-37%,+12%
Mifflin County,-32%,-9%,N/A,N/A,-26%,+24%
Monroe County,-53%,-4%,-6%,-63%,-47%,+16%
Montgomery County,-55%,-25%,+62%,-52%,-45%,+17%
Montour County,-60%,-33%,N/A,N/A,-28%,N/A
Northampton County,-51%,-13%,+73%,-42%,-41%,+16%
Northumberland County,-40%,+10%,N/A,-20%,-29%,+12%
Perry County,-31%,+10%,N/A,N/A,-30%,+27%
Philadelphia County,-54%,-17%,-37%,-55%,-43%,+16%
Pike County,-42%,+16%,N/A,N/A,-39%,+28%
Potter County,-38%,+1%,N/A,N/A,-25%,N/A
Schuylkill County,-34%,+4%,-43%,-30%,-35%,+12%
Snyder County,-49%,-6%,N/A,N/A,-29%,+12%
Somerset County,-46%,+3%,+40%,-57%,-30%,+25%
Sullivan County,N/A,N/A,N/A,N/A,-51%,N/A
Susquehanna County,-48%,-18%,-42%,-48%,-27%,+16%
Tioga County,-41%,-13%,N/A,N/A,-34%,+18%
Union County,-47%,-4%,N/A,N/A,-28%,+14%
Venango County,-35%,+1%,N/A,-61%,-30%,+24%
Warren County,-30%,+15%,-38%,N/A,-32%,+17%
Washington County,-48%,-2%,+27%,-24%,-38%,+13%
Wayne County,-37%,-6%,N/A,N/A,-36%,+17%
Westmoreland County,-42%,-5%,+43%,-41%,-37%,+13%
Wyoming County,-48%,-4%,N/A,N/A,-33%,-1%
York County,-42%,-14%,+42%,-42%,-39%,+14%
