X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_California,-48%,-14%,-46%,-53%,-40%,+18%
Alameda County,-59%,-23%,-30%,-65%,-45%,+19%
Amador County,-35%,-26%,-64%,N/A,-39%,+0%
Butte County,-35%,-1%,-22%,-34%,-31%,+10%
Calaveras County,-41%,-18%,-54%,N/A,-34%,+10%
Colusa County,-46%,-6%,N/A,-38%,-30%,N/A
Contra Costa County,-47%,-7%,-17%,-51%,-43%,+17%
Del Norte County,-31%,-11%,+20%,N/A,-23%,N/A
El Dorado County,-57%,-27%,-45%,-42%,-48%,+14%
Fresno County,-39%,-3%,-46%,-39%,-31%,+13%
Glenn County,-47%,+25%,-36%,-16%,-26%,+2%
Humboldt County,-45%,-14%,-18%,-55%,-35%,+12%
Imperial County,-60%,-30%,-77%,-67%,-37%,+22%
Inyo County,-81%,-37%,-52%,N/A,-43%,N/A
Kern County,-39%,-2%,-24%,-37%,-29%,+13%
Kings County,-34%,+3%,-39%,-49%,-27%,+11%
Lake County,-33%,+5%,-40%,-42%,-36%,+17%
Lassen County,-37%,-3%,N/A,N/A,-19%,N/A
Los Angeles County,-51%,-19%,-54%,-52%,-43%,+20%
Madera County,-30%,-10%,-29%,-26%,-32%,+13%
Marin County,-59%,-29%,-63%,-55%,-46%,+19%
Mariposa County,-86%,-54%,-83%,N/A,-51%,N/A
Mendocino County,-39%,-12%,-51%,-39%,-31%,+17%
Merced County,-38%,-8%,-25%,-34%,-29%,+13%
Modoc County,-59%,+4%,N/A,N/A,-28%,N/A
Mono County,-96%,-67%,-46%,N/A,-70%,N/A
Monterey County,-45%,-10%,-56%,-32%,-33%,+13%
Napa County,-51%,-28%,-14%,-34%,-50%,+16%
Nevada County,-53%,-24%,-48%,-71%,-41%,+13%
Orange County,-51%,-13%,-42%,-47%,-43%,+19%
Placer County,-50%,-13%,-15%,-51%,-41%,+14%
Plumas County,-64%,-18%,N/A,N/A,-18%,N/A
Riverside County,-42%,-12%,-59%,-45%,-39%,+17%
Sacramento County,-44%,-3%,-23%,-54%,-37%,+14%
San Benito County,-44%,-9%,-54%,N/A,-38%,+25%
San Bernardino County,-43%,-11%,-44%,-45%,-35%,+16%
San Diego County,-49%,-17%,-68%,-63%,-42%,+19%
San Francisco County,-77%,-33%,-59%,-70%,-54%,+22%
San Joaquin County,-37%,-1%,-14%,-25%,-31%,+14%
San Luis Obispo County,-53%,-19%,-37%,-56%,-39%,+14%
San Mateo County,-60%,-20%,-38%,-83%,-47%,+21%
Santa Barbara County,-49%,-12%,-33%,-49%,-36%,+14%
Santa Clara County,-61%,-26%,-17%,-63%,-48%,+20%
Santa Cruz County,-56%,-16%,-63%,-56%,-40%,+17%
Shasta County,-36%,+3%,+33%,-24%,-29%,+9%
Siskiyou County,-24%,+2%,+37%,-7%,-23%,+10%
Solano County,-43%,-4%,-18%,-39%,-35%,+15%
Sonoma County,-50%,-14%,-59%,-49%,-41%,+16%
Stanislaus County,-42%,-4%,-15%,-27%,-32%,+13%
Sutter County,-37%,-4%,-19%,-20%,-37%,+12%
Tehama County,-27%,+11%,-5%,-28%,-24%,+14%
Trinity County,-39%,+0%,N/A,N/A,-35%,N/A
Tulare County,-36%,-2%,-47%,-32%,-29%,+12%
Tuolumne County,-41%,+1%,-72%,N/A,-34%,+14%
Ventura County,-44%,-18%,-38%,-37%,-36%,+16%
Yolo County,-41%,-9%,-9%,-30%,-38%,+15%
Yuba County,-25%,+9%,+37%,-26%,-30%,+11%
