X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Colorado,-46%,-11%,-2%,-53%,-40%,+14%
Adams County,-41%,-4%,+0%,-27%,-36%,+14%
Alamosa County,-40%,-15%,N/A,N/A,-24%,N/A
Arapahoe County,-45%,-12%,+22%,-27%,-41%,+16%
Archuleta County,-58%,-20%,N/A,N/A,-44%,N/A
Bent County,N/A,N/A,N/A,N/A,-32%,N/A
Boulder County,-53%,-15%,+11%,-42%,-45%,+16%
Broomfield County,-50%,-19%,+23%,-41%,-41%,+28%
Chaffee County,-51%,-34%,-16%,N/A,-41%,N/A
Clear Creek County,-87%,-53%,-16%,N/A,-47%,N/A
Conejos County,N/A,N/A,N/A,N/A,-36%,N/A
Delta County,-27%,-11%,+2%,N/A,-23%,+5%
Denver County,-60%,-8%,-10%,-71%,-45%,+16%
Douglas County,-49%,-19%,+18%,-23%,-43%,+15%
Eagle County,-69%,-33%,-45%,-66%,-72%,+26%
El Paso County,-40%,-8%,+4%,-45%,-39%,+13%
Elbert County,-19%,-25%,N/A,N/A,-30%,+0%
Fremont County,-19%,+2%,-5%,N/A,-33%,+12%
Garfield County,-44%,-17%,+16%,-36%,-41%,+20%
Gilpin County,N/A,N/A,N/A,N/A,-65%,N/A
Grand County,-82%,-43%,-84%,-43%,-59%,N/A
Gunnison County,-65%,-38%,-43%,N/A,-49%,N/A
Huerfano County,-50%,-10%,N/A,N/A,-28%,N/A
Jefferson County,-44%,-17%,+5%,-31%,-41%,+15%
Kiowa County,N/A,N/A,N/A,-41%,N/A,N/A
Kit Carson County,-34%,-20%,N/A,-30%,-18%,N/A
La Plata County,-51%,-7%,+21%,-59%,-46%,+21%
Lake County,-77%,-34%,N/A,N/A,-55%,N/A
Larimer County,-50%,-6%,+13%,-38%,-39%,+14%
Las Animas County,-37%,-27%,N/A,N/A,-28%,N/A
Lincoln County,-36%,-12%,N/A,-33%,-26%,N/A
Logan County,-34%,-13%,N/A,N/A,-28%,N/A
Mesa County,-36%,-7%,+97%,-27%,-35%,+8%
Moffat County,-27%,-24%,N/A,N/A,-30%,N/A
Montezuma County,-48%,+2%,N/A,N/A,-28%,-1%
Montrose County,-35%,-10%,N/A,N/A,-32%,+14%
Morgan County,-37%,-17%,-4%,-17%,-22%,+15%
Otero County,-25%,-17%,N/A,N/A,-21%,N/A
Ouray County,-28%,N/A,N/A,N/A,-56%,N/A
Park County,-63%,-41%,+46%,N/A,-36%,N/A
Phillips County,N/A,N/A,N/A,N/A,-39%,N/A
Pitkin County,-100%,-53%,N/A,-87%,-72%,N/A
Prowers County,-18%,-4%,N/A,-36%,-14%,N/A
Pueblo County,-38%,-1%,-50%,-23%,-28%,+10%
Rio Blanco County,N/A,N/A,N/A,N/A,-28%,N/A
Rio Grande County,-25%,-20%,N/A,N/A,-24%,N/A
Routt County,-79%,-48%,-69%,-65%,-60%,-2%
Saguache County,N/A,N/A,N/A,N/A,-44%,N/A
San Miguel County,-80%,N/A,N/A,N/A,-71%,N/A
Summit County,-84%,-71%,-77%,-67%,-64%,+5%
Teller County,-24%,-19%,N/A,N/A,-51%,-1%
Washington County,N/A,N/A,N/A,N/A,-39%,N/A
Weld County,-34%,-6%,+24%,-23%,-33%,+14%
Yuma County,-33%,-26%,N/A,N/A,-23%,N/A
