X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Idaho,-40%,+0%,+12%,-35%,-34%,+11%
Ada County,-45%,-6%,+24%,-54%,-40%,+13%
Bannock County,-44%,-2%,-40%,-44%,-32%,+11%
Bear Lake County,-28%,-17%,N/A,N/A,-41%,N/A
Benewah County,-16%,-6%,N/A,N/A,-43%,N/A
Bingham County,-31%,+2%,N/A,N/A,-24%,+13%
Blaine County,-84%,-50%,N/A,-57%,-64%,N/A
Boise County,-57%,N/A,-12%,N/A,-50%,N/A
Bonner County,-32%,-32%,-22%,N/A,-33%,+12%
Bonneville County,-41%,-2%,+16%,-28%,-28%,+11%
Boundary County,-29%,-4%,N/A,N/A,-25%,N/A
Canyon County,-36%,+4%,+24%,-21%,-32%,+10%
Caribou County,-53%,-6%,N/A,N/A,-29%,N/A
Cassia County,-7%,+2%,N/A,N/A,-28%,+0%
Clearwater County,-54%,-14%,N/A,N/A,-21%,N/A
Elmore County,-28%,+1%,N/A,-32%,-24%,+14%
Franklin County,-3%,-10%,N/A,N/A,-20%,N/A
Fremont County,-64%,+2%,-38%,N/A,-22%,N/A
Gem County,-9%,+1%,N/A,N/A,-24%,N/A
Gooding County,-42%,-4%,N/A,N/A,-11%,N/A
Idaho County,-74%,-15%,N/A,N/A,-30%,N/A
Jefferson County,-39%,-12%,-62%,N/A,-26%,+9%
Jerome County,-5%,-44%,N/A,-13%,-19%,+6%
Kootenai County,-37%,+4%,+82%,-13%,-36%,+10%
Latah County,-49%,-22%,N/A,N/A,-42%,+19%
Lemhi County,-23%,-27%,N/A,N/A,-28%,N/A
Lincoln County,N/A,N/A,N/A,N/A,-39%,N/A
Madison County,-44%,-28%,N/A,N/A,-45%,+15%
Minidoka County,-40%,+27%,N/A,-12%,-24%,+1%
Nez Perce County,-36%,+17%,-24%,-55%,-27%,+15%
Oneida County,N/A,N/A,N/A,N/A,-42%,N/A
Owyhee County,-30%,+12%,N/A,N/A,-25%,N/A
Payette County,-42%,-5%,N/A,N/A,-29%,+5%
Power County,-26%,-9%,N/A,N/A,-32%,N/A
Shoshone County,-28%,-4%,N/A,N/A,-29%,N/A
Teton County,-69%,-19%,N/A,N/A,-56%,N/A
Twin Falls County,-45%,+2%,-16%,N/A,-31%,+12%
Valley County,-84%,-54%,-64%,N/A,-58%,N/A
Washington County,-17%,+2%,N/A,N/A,-37%,N/A
