X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Indiana,-40%,-2%,+70%,-29%,-36%,+12%
Adams County,-35%,-29%,N/A,N/A,-27%,+8%
Allen County,-48%,-12%,+76%,-38%,-39%,+13%
Bartholomew County,-49%,-10%,+23%,-17%,-49%,+28%
Benton County,N/A,N/A,N/A,N/A,-52%,N/A
Blackford County,-53%,-7%,N/A,N/A,-17%,N/A
Boone County,-39%,-6%,N/A,-26%,-35%,+27%
Brown County,-70%,-20%,N/A,N/A,-39%,N/A
Carroll County,-7%,+5%,N/A,N/A,-30%,N/A
Cass County,-26%,-3%,N/A,N/A,-20%,+19%
Clark County,-48%,+4%,+101%,-36%,-36%,+12%
Clay County,-30%,-29%,N/A,-29%,-39%,-1%
Clinton County,-31%,-9%,N/A,N/A,-34%,+17%
Crawford County,-47%,-16%,N/A,-42%,-54%,N/A
Daviess County,-38%,+5%,N/A,N/A,-28%,+8%
DeKalb County,-40%,-5%,N/A,N/A,-37%,+20%
Dearborn County,-42%,-14%,N/A,N/A,-44%,+24%
Decatur County,-53%,-46%,N/A,-35%,-44%,+11%
Delaware County,-42%,-7%,N/A,-4%,-33%,+10%
Dubois County,-47%,-14%,N/A,N/A,-49%,+23%
Elkhart County,-32%,-5%,+23%,-20%,-40%,+11%
Fayette County,-27%,-16%,N/A,N/A,-26%,+6%
Floyd County,-40%,-4%,N/A,N/A,-38%,+23%
Fountain County,-47%,+0%,N/A,N/A,-31%,N/A
Franklin County,-38%,-32%,N/A,N/A,-33%,N/A
Fulton County,-21%,-10%,N/A,-46%,-35%,N/A
Gibson County,-27%,-4%,N/A,-46%,-26%,+11%
Grant County,-28%,+8%,N/A,-32%,-24%,+8%
Greene County,-40%,-15%,N/A,N/A,-29%,+5%
Hamilton County,-51%,-8%,+111%,N/A,-42%,+14%
Hancock County,-39%,+33%,N/A,-24%,-33%,+23%
Harrison County,-40%,+0%,N/A,N/A,-30%,+19%
Hendricks County,-36%,-1%,-13%,-24%,-34%,+13%
Henry County,-25%,-1%,N/A,-28%,-31%,+23%
Howard County,-42%,-3%,N/A,N/A,-41%,+11%
Huntington County,-33%,-18%,N/A,-46%,-27%,+18%
Jackson County,-26%,-45%,N/A,-23%,-44%,+25%
Jasper County,-24%,-3%,N/A,-21%,-26%,+14%
Jay County,-43%,-20%,N/A,N/A,-20%,N/A
Jefferson County,-31%,-7%,N/A,N/A,-26%,+14%
Jennings County,-43%,-14%,N/A,N/A,-41%,+12%
Johnson County,-46%,+3%,+0%,-26%,-37%,+12%
Knox County,-34%,-5%,N/A,N/A,-31%,+14%
Kosciusko County,-39%,-2%,N/A,N/A,-36%,+26%
LaGrange County,-62%,-6%,-8%,-41%,-25%,+9%
LaPorte County,-44%,+1%,-7%,-38%,-35%,+12%
Lake County,-37%,+4%,+18%,-18%,-35%,+13%
Lawrence County,-32%,-2%,N/A,N/A,-32%,+19%
