X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Michigan,-58%,-15%,+59%,-51%,-45%,+16%
Alcona County,+1%,N/A,N/A,N/A,-50%,N/A
Alger County,-79%,-45%,-14%,N/A,-62%,N/A
Allegan County,-49%,-4%,N/A,-51%,-41%,+15%
Alpena County,-50%,-10%,N/A,N/A,-34%,+3%
Antrim County,-73%,-8%,N/A,N/A,-43%,N/A
Arenac County,-28%,+13%,N/A,N/A,-35%,N/A
Baraga County,N/A,-44%,N/A,N/A,-63%,N/A
Barry County,-48%,+18%,N/A,N/A,-37%,+29%
Bay County,-59%,-11%,-23%,N/A,-41%,+14%
Benzie County,-23%,-3%,N/A,N/A,-33%,N/A
Berrien County,-45%,-2%,+123%,-35%,-37%,+12%
Branch County,-55%,-10%,N/A,N/A,-40%,+21%
Calhoun County,-51%,-8%,+30%,-44%,-41%,+13%
Cass County,-38%,+3%,N/A,N/A,-32%,+25%
Charlevoix County,-46%,-22%,+25%,N/A,-43%,N/A
Cheboygan County,-45%,-7%,N/A,N/A,-38%,N/A
Chippewa County,-63%,+21%,-50%,N/A,-40%,+2%
Clare County,-63%,+4%,N/A,N/A,-30%,+9%
Clinton County,-58%,-18%,N/A,-50%,-41%,+30%
Crawford County,-47%,-34%,N/A,N/A,-35%,N/A
Delta County,-51%,-14%,N/A,N/A,-34%,+9%
Dickinson County,-38%,-13%,N/A,N/A,-29%,+0%
Eaton County,-58%,-22%,N/A,N/A,-37%,+15%
Emmet County,-67%,-28%,N/A,N/A,-49%,+1%
Genesee County,-55%,-10%,+94%,-45%,-46%,+15%
Gladwin County,-54%,-2%,N/A,N/A,-38%,+0%
Gogebic County,-41%,-33%,N/A,N/A,-41%,N/A
Grand Traverse County,-65%,-26%,+80%,-74%,-44%,+13%
Gratiot County,-47%,-7%,N/A,N/A,-31%,+18%
Hillsdale County,-51%,-15%,N/A,N/A,-41%,+22%
Houghton County,-64%,-18%,-29%,N/A,-39%,+3%
Huron County,-38%,-5%,N/A,N/A,-32%,+0%
Ingham County,-63%,-22%,+104%,-53%,-40%,+15%
Ionia County,-48%,+1%,N/A,-47%,-34%,+28%
Iosco County,-50%,+28%,N/A,N/A,-37%,N/A
Iron County,-34%,-9%,N/A,N/A,-44%,N/A
Isabella County,-65%,-25%,N/A,N/A,-44%,+28%
Jackson County,-54%,-9%,-7%,-43%,-39%,+14%
Kalamazoo County,-60%,-20%,+100%,-60%,-40%,+15%
Kalkaska County,-50%,-5%,N/A,N/A,-42%,N/A
Kent County,-64%,-20%,+61%,-54%,-44%,+16%
Lake County,-43%,+10%,N/A,N/A,-51%,N/A
Lapeer County,-52%,-18%,-32%,N/A,-48%,+31%
Leelanau County,-64%,-33%,N/A,N/A,-47%,N/A
Lenawee County,-54%,-11%,N/A,N/A,-43%,+15%
Livingston County,-64%,-13%,+19%,N/A,-48%,+17%
Luce County,-67%,N/A,N/A,N/A,N/A,N/A
Mackinac County,-75%,-37%,N/A,N/A,-60%,N/A
Macomb County,-58%,-14%,+125%,-32%,-53%,+18%
Manistee County,-53%,-12%,N/A,N/A,-31%,N/A
Marquette County,-64%,-16%,+1%,N/A,-33%,+26%
Mason County,-53%,-11%,N/A,N/A,-38%,+7%
Mecosta County,-48%,+1%,N/A,N/A,-29%,+20%
Menominee County,-34%,-18%,N/A,N/A,-29%,N/A
Midland County,-56%,-9%,-14%,N/A,-38%,+30%
Missaukee County,-37%,N/A,N/A,N/A,-30%,N/A
Monroe County,-57%,-9%,+58%,-31%,-38%,+15%
Montcalm County,-39%,+8%,N/A,N/A,-32%,+27%
Montmorency County,-54%,-12%,N/A,N/A,-50%,N/A
Muskegon County,-53%,-8%,+136%,N/A,-42%,+13%
Newaygo County,-37%,+18%,+88%,N/A,-32%,+25%
Oakland County,-66%,-22%,+63%,-42%,-52%,+18%
Oceana County,-46%,+17%,+9%,N/A,-34%,-1%
Ogemaw County,-47%,+0%,N/A,N/A,-31%,N/A
Ontonagon County,-46%,N/A,N/A,N/A,N/A,N/A
Osceola County,-46%,+10%,N/A,N/A,-34%,N/A
Oscoda County,-28%,-14%,N/A,N/A,-55%,N/A
Otsego County,-67%,-37%,N/A,N/A,-44%,-1%
Ottawa County,-55%,-20%,+176%,-11%,-45%,+16%
Presque Isle County,-64%,-4%,N/A,N/A,-47%,N/A
Roscommon County,-55%,+30%,-33%,N/A,-37%,N/A
Saginaw County,-63%,-16%,-14%,-58%,-44%,+15%
Sanilac County,-46%,-13%,N/A,N/A,-36%,+12%
Schoolcraft County,-80%,-32%,-22%,N/A,-51%,N/A
Shiawassee County,-47%,-5%,N/A,N/A,-43%,+28%
St. Clair County,-54%,-15%,+27%,-44%,-46%,+15%
St. Joseph County,-40%,-19%,N/A,N/A,-38%,+27%
Tuscola County,-41%,-18%,N/A,N/A,-38%,+27%
Van Buren County,-41%,+4%,N/A,N/A,-35%,+26%
Washtenaw County,-63%,-38%,+115%,-46%,-53%,+17%
Wayne County,-57%,-11%,+36%,-55%,-48%,+17%
Wexford County,-56%,-7%,N/A,N/A,-40%,+12%
