X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Minnesota,-44%,-2%,+50%,-51%,-36%,+14%
Aitkin County,-47%,-35%,-58%,N/A,-33%,N/A
Anoka County,-36%,+2%,+118%,-9%,-36%,+14%
Becker County,-57%,+62%,N/A,N/A,-36%,+16%
Beltrami County,-39%,+3%,-38%,N/A,-30%,+22%
Benton County,-35%,+5%,N/A,N/A,-33%,+21%
Big Stone County,N/A,N/A,N/A,N/A,-35%,N/A
Blue Earth County,-57%,-10%,-26%,N/A,-32%,+23%
Brown County,-29%,-21%,N/A,N/A,-16%,+9%
Carlton County,-27%,-14%,N/A,N/A,-27%,+11%
Carver County,-37%,+1%,+46%,N/A,-33%,+28%
Cass County,-60%,-4%,-11%,N/A,-33%,+0%
Chippewa County,-19%,N/A,N/A,N/A,-22%,N/A
Chisago County,-43%,+3%,-33%,N/A,-32%,+24%
Clay County,-37%,+0%,N/A,N/A,-35%,+25%
Clearwater County,-72%,-28%,N/A,N/A,-47%,N/A
Cook County,-64%,-58%,N/A,N/A,-54%,N/A
Cottonwood County,-46%,N/A,N/A,N/A,-52%,N/A
Crow Wing County,-42%,+0%,+14%,N/A,-39%,+20%
Dakota County,-42%,-4%,+90%,-11%,-38%,+14%
Dodge County,-46%,-17%,N/A,N/A,-27%,+4%
Douglas County,-39%,-20%,-47%,-28%,-27%,+22%
Faribault County,-31%,-10%,N/A,N/A,-14%,N/A
Fillmore County,-52%,-7%,N/A,N/A,-21%,N/A
Freeborn County,-27%,-4%,N/A,-20%,-30%,+18%
Goodhue County,-25%,+13%,-20%,N/A,-34%,+21%
Grant County,N/A,N/A,N/A,N/A,-38%,N/A
Hennepin County,-53%,-6%,+65%,-65%,-43%,+16%
Houston County,-78%,-11%,N/A,N/A,-30%,N/A
Hubbard County,-35%,-4%,N/A,N/A,-42%,N/A
Isanti County,-26%,+14%,-36%,N/A,-24%,+20%
Itasca County,-39%,-4%,N/A,N/A,-31%,+19%
Jackson County,-77%,N/A,N/A,N/A,-46%,N/A
Kanabec County,-34%,-12%,N/A,N/A,-40%,N/A
Kandiyohi County,-35%,-7%,N/A,N/A,-20%,+20%
Koochiching County,-46%,-18%,N/A,N/A,-29%,N/A
Lac qui Parle County,N/A,N/A,N/A,N/A,-36%,N/A
Lake County,-43%,-16%,+25%,N/A,-42%,N/A
Lake of the Woods County,-71%,N/A,N/A,N/A,N/A,N/A
Le Sueur County,-1%,-4%,N/A,N/A,-26%,+18%
Lincoln County,N/A,N/A,N/A,N/A,-40%,N/A
Lyon County,-39%,-12%,N/A,N/A,-26%,+4%
Mahnomen County,N/A,N/A,N/A,N/A,-60%,N/A
Marshall County,N/A,N/A,N/A,N/A,-49%,N/A
Martin County,-45%,-16%,N/A,N/A,-13%,N/A
McLeod County,-32%,-14%,N/A,N/A,-22%,+21%
Meeker County,-31%,-17%,N/A,N/A,-21%,+3%
Mille Lacs County,-30%,+4%,N/A,N/A,-32%,+11%
Morrison County,-37%,-17%,-61%,N/A,-28%,+14%
Mower County,-35%,+5%,N/A,N/A,-17%,+20%
Murray County,-70%,N/A,N/A,N/A,-39%,N/A
Nicollet County,-47%,-10%,N/A,N/A,-34%,+20%
Nobles County,-33%,-3%,N/A,-49%,-45%,N/A
Norman County,N/A,N/A,N/A,N/A,-38%,N/A
Olmsted County,-50%,-1%,+107%,-29%,-37%,+14%
Otter Tail County,-41%,+0%,-9%,N/A,-26%,+20%
Pennington County,-35%,-23%,N/A,N/A,-49%,N/A
Pine County,-41%,+9%,-47%,N/A,-46%,+10%
Pipestone County,-29%,-20%,N/A,N/A,-33%,N/A
Polk County,-52%,-19%,N/A,N/A,-32%,+15%
Pope County,-55%,N/A,N/A,N/A,-39%,N/A
Ramsey County,-54%,-3%,+26%,-25%,-39%,+15%
Red Lake County,N/A,N/A,N/A,N/A,-37%,N/A
Redwood County,-41%,-16%,N/A,N/A,-30%,N/A
Renville County,-77%,N/A,N/A,N/A,-22%,N/A
Rice County,-31%,+14%,+2%,-19%,-38%,+21%
Rock County,-41%,N/A,N/A,N/A,-40%,N/A
Roseau County,-73%,-23%,N/A,N/A,-52%,N/A
Scott County,-40%,-6%,+83%,N/A,-40%,+15%
Sherburne County,-26%,+8%,-42%,N/A,-32%,+24%
Sibley County,-71%,N/A,N/A,N/A,-11%,N/A
St. Louis County,-51%,-8%,+32%,-36%,-36%,+14%
Stearns County,-48%,-2%,-19%,-53%,-34%,+13%
Steele County,-40%,+22%,-37%,-47%,-33%,+22%
Stevens County,-48%,-4%,N/A,N/A,-33%,N/A
Swift County,-38%,-15%,N/A,N/A,-41%,N/A
Todd County,-23%,-7%,N/A,N/A,-35%,+3%
Wabasha County,-59%,+13%,N/A,N/A,-31%,N/A
Wadena County,-40%,-8%,N/A,N/A,-38%,N/A
Waseca County,-25%,-9%,N/A,N/A,-23%,N/A
Washington County,-41%,-7%,+136%,-7%,-38%,+15%
Watonwan County,-51%,N/A,N/A,N/A,-12%,N/A
Wilkin County,N/A,N/A,N/A,N/A,-38%,N/A
Winona County,-36%,-4%,N/A,-54%,-31%,+24%
Wright County,-39%,+7%,+79%,N/A,-31%,+14%
Yellow Medicine County,-57%,N/A,N/A,N/A,-38%,N/A
