X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Nebraska,-39%,+4%,+52%,-21%,-29%,+11%
Adams County,-38%,-9%,N/A,N/A,-19%,+18%
Antelope County,N/A,N/A,N/A,N/A,-26%,N/A
Box Butte County,-28%,-2%,N/A,N/A,-13%,N/A
Buffalo County,-53%,-8%,N/A,-17%,-33%,+21%
Burt County,-58%,N/A,N/A,N/A,-33%,N/A
Butler County,-55%,N/A,N/A,N/A,-36%,N/A
Cass County,-45%,N/A,-63%,N/A,-29%,+12%
Cedar County,N/A,N/A,N/A,N/A,-42%,N/A
Cherry County,-68%,N/A,N/A,N/A,-39%,N/A
Cheyenne County,-29%,-20%,N/A,+6%,-43%,N/A
Clay County,N/A,N/A,N/A,N/A,-42%,N/A
Colfax County,-65%,-8%,N/A,N/A,-8%,N/A
Cuming County,-37%,N/A,N/A,N/A,-36%,N/A
Custer County,-49%,-11%,N/A,N/A,-30%,N/A
Dakota County,-18%,+49%,N/A,N/A,+13%,+1%
Dawes County,-38%,N/A,N/A,N/A,-35%,N/A
Dawson County,-21%,+0%,N/A,N/A,-20%,-2%
Deuel County,N/A,N/A,N/A,+3%,N/A,N/A
Dixon County,N/A,N/A,N/A,N/A,-30%,N/A
Dodge County,-24%,+3%,N/A,-14%,-29%,+16%
Douglas County,-45%,+6%,-4%,-34%,-34%,+12%
Fillmore County,N/A,N/A,N/A,N/A,-27%,N/A
Gage County,-34%,+9%,N/A,N/A,-21%,+1%
Hall County,-49%,-20%,N/A,-9%,-35%,+20%
Hamilton County,-58%,N/A,N/A,-1%,-34%,N/A
Holt County,-25%,-4%,N/A,N/A,-26%,N/A
Howard County,N/A,N/A,N/A,N/A,-38%,N/A
Jefferson County,-25%,N/A,N/A,N/A,-34%,N/A
Johnson County,N/A,N/A,N/A,N/A,-34%,N/A
Kearney County,N/A,N/A,N/A,N/A,-42%,N/A
Keith County,-36%,-22%,N/A,+0%,-29%,N/A
Kimball County,N/A,N/A,N/A,N/A,-49%,N/A
Knox County,N/A,N/A,N/A,N/A,-45%,N/A
Lancaster County,-40%,-5%,+117%,-19%,-30%,+11%
Lincoln County,-38%,+3%,N/A,-14%,-22%,+14%
Madison County,-38%,+3%,N/A,N/A,-23%,+16%
Merrick County,-30%,N/A,N/A,N/A,-37%,N/A
Morrill County,N/A,N/A,N/A,N/A,-36%,N/A
Nemaha County,-58%,N/A,N/A,N/A,-32%,N/A
Otoe County,-21%,+51%,N/A,N/A,-23%,N/A
Phelps County,-29%,+16%,N/A,N/A,-45%,N/A
Pierce County,N/A,N/A,N/A,N/A,-40%,N/A
Platte County,-35%,+0%,N/A,-8%,-16%,+19%
Polk County,N/A,N/A,N/A,N/A,-37%,N/A
Red Willow County,-24%,N/A,N/A,N/A,-24%,N/A
Richardson County,-36%,-2%,N/A,N/A,-23%,N/A
Saline County,-23%,+14%,N/A,N/A,-34%,N/A
Sarpy County,-38%,+0%,+115%,-6%,-31%,+12%
Saunders County,-35%,+20%,N/A,N/A,-24%,N/A
Scotts Bluff County,-36%,-1%,N/A,N/A,-26%,+14%
Seward County,-33%,N/A,N/A,N/A,-19%,N/A
Stanton County,N/A,N/A,N/A,N/A,-33%,N/A
Thayer County,N/A,N/A,N/A,N/A,-17%,N/A
Thurston County,N/A,N/A,N/A,N/A,-40%,N/A
Washington County,-25%,-9%,N/A,N/A,-21%,N/A
Wayne County,-39%,N/A,N/A,N/A,-45%,N/A
York County,-48%,N/A,N/A,-17%,-27%,N/A
