X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_South,-47%,+1%,-16%,-42%,-31%,+15%
Beadle County,-36%,-12%,N/A,N/A,-24%,N/A
Bon Homme County,N/A,N/A,N/A,N/A,-43%,N/A
Brookings County,-39%,-27%,N/A,N/A,-28%,+22%
Brown County,-38%,-12%,N/A,N/A,-29%,+20%
Brule County,-55%,N/A,N/A,N/A,-41%,N/A
Butte County,-25%,N/A,N/A,N/A,-34%,N/A
Charles Mix County,-49%,N/A,N/A,N/A,-34%,N/A
Clay County,-47%,N/A,N/A,N/A,-35%,N/A
Codington County,-31%,+5%,N/A,-50%,-27%,+15%
Custer County,N/A,N/A,N/A,N/A,-36%,N/A
Davison County,-40%,-4%,N/A,N/A,-25%,N/A
Dewey County,N/A,N/A,N/A,N/A,-46%,N/A
Fall River County,-37%,N/A,N/A,N/A,-30%,N/A
Grant County,-32%,N/A,N/A,N/A,-23%,N/A
Hamlin County,N/A,N/A,N/A,N/A,-40%,N/A
Hughes County,-24%,-11%,N/A,N/A,-22%,N/A
Hutchinson County,N/A,N/A,N/A,N/A,-36%,N/A
Kingsbury County,N/A,N/A,N/A,N/A,-24%,N/A
Lake County,-20%,-6%,N/A,N/A,-45%,N/A
Lawrence County,-69%,-14%,-26%,N/A,-55%,+0%
Lincoln County,-38%,+0%,N/A,N/A,-34%,+24%
McCook County,N/A,N/A,N/A,N/A,-41%,N/A
Meade County,-38%,-7%,N/A,N/A,-35%,+12%
Minnehaha County,-52%,-6%,+13%,-44%,-37%,+14%
Moody County,N/A,N/A,N/A,N/A,-43%,N/A
Pennington County,-52%,-2%,-58%,-33%,-35%,+15%
Roberts County,-45%,-20%,N/A,-40%,-45%,N/A
Shannon County,-50%,-11%,N/A,N/A,-45%,N/A
Spink County,N/A,N/A,N/A,N/A,-38%,N/A
Todd County,N/A,-14%,N/A,N/A,-46%,N/A
Tripp County,-71%,N/A,N/A,N/A,N/A,N/A
Turner County,N/A,N/A,N/A,N/A,-38%,N/A
Union County,-48%,-9%,N/A,-35%,-32%,N/A
Walworth County,-21%,N/A,N/A,N/A,-34%,N/A
Yankton County,-42%,+0%,N/A,N/A,-33%,+8%
