X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Utah,-42%,-4%,+28%,-43%,-34%,+12%
Beaver County,-63%,N/A,N/A,-24%,-32%,N/A
Box Elder County,-23%,-7%,+13%,-17%,-22%,+16%
Cache County,-36%,+9%,+47%,+8%,-30%,+11%
Carbon County,-26%,-13%,N/A,N/A,-24%,N/A
Davis County,-39%,+2%,+24%,-18%,-33%,+12%
Duchesne County,-25%,+12%,N/A,N/A,-22%,N/A
Emery County,-55%,+2%,N/A,N/A,-45%,N/A
Garfield County,N/A,N/A,-4%,N/A,N/A,N/A
Grand County,-54%,-2%,-20%,N/A,-29%,N/A
Iron County,-36%,-13%,N/A,-22%,-32%,+15%
Juab County,-25%,-15%,N/A,-29%,-28%,N/A
Kane County,-31%,-15%,-10%,N/A,-39%,N/A
Millard County,-16%,+67%,N/A,N/A,-2%,N/A
Morgan County,-68%,-2%,N/A,N/A,-52%,N/A
Salt Lake County,-48%,-7%,+14%,-60%,-35%,+13%
San Juan County,-35%,+34%,-30%,N/A,-50%,N/A
Sanpete County,-9%,-7%,N/A,N/A,-16%,N/A
Sevier County,-23%,+2%,N/A,+12%,-14%,N/A
Summit County,-80%,-59%,-48%,-65%,-70%,+6%
Tooele County,-18%,+31%,N/A,-13%,-32%,+16%
Uintah County,-31%,+1%,+0%,N/A,-35%,+5%
Utah County,-40%,-4%,+94%,-3%,-37%,+12%
Wasatch County,-49%,-32%,+20%,N/A,-54%,+4%
Washington County,-38%,-3%,-9%,-22%,-31%,+9%
Weber County,-36%,-7%,+57%,-16%,-27%,+11%
