X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Virginia,-40%,-9%,+17%,-49%,-36%,+13%
Accomack County,-24%,-4%,N/A,N/A,-19%,+14%
Albemarle County,-48%,-18%,-2%,-61%,-39%,+25%
Alexandria,-58%,-16%,+9%,-62%,-46%,+18%
Alleghany County,-17%,N/A,N/A,-22%,-25%,N/A
Amelia County,-60%,-21%,N/A,N/A,-43%,N/A
Amherst County,-2%,-2%,N/A,N/A,-23%,+8%
Appomattox County,-21%,+12%,N/A,N/A,-20%,N/A
Arlington County,-67%,-23%,-21%,-81%,-51%,+19%
Augusta County,-38%,-6%,-22%,+13%,-27%,+20%
Bath County,N/A,N/A,-73%,N/A,N/A,N/A
Bedford County,-28%,+3%,N/A,N/A,-26%,+20%
Bland County,N/A,N/A,N/A,-32%,-49%,N/A
Botetourt County,-58%,-18%,N/A,-31%,-34%,+14%
Bristol,-30%,-12%,N/A,N/A,-30%,N/A
Brunswick County,-42%,N/A,N/A,-57%,-20%,N/A
Buchanan County,-26%,+0%,N/A,N/A,-43%,N/A
Buckingham County,-16%,-12%,N/A,N/A,-42%,N/A
Buena Vista,-40%,-14%,N/A,N/A,-53%,N/A
Campbell County,-26%,+3%,N/A,N/A,-32%,+18%
Caroline County,-47%,-21%,-68%,-36%,-23%,+18%
Carroll County,-19%,+7%,N/A,-29%,-23%,+4%
Charles City County,N/A,N/A,N/A,N/A,-41%,N/A
Charlotte County,-7%,+17%,N/A,N/A,-38%,N/A
Charlottesville,-68%,-24%,-22%,-49%,-51%,+15%
Chesapeake,-35%,-15%,+35%,-6%,-34%,+12%
Chesterfield County,-38%,-16%,+34%,-37%,-33%,+13%
Clarke County,-45%,-21%,N/A,N/A,-48%,N/A
Colonial Heights,-44%,-17%,N/A,N/A,-28%,N/A
Covington,-40%,-9%,N/A,N/A,-42%,N/A
Craig County,N/A,N/A,N/A,N/A,-43%,N/A
Culpeper County,-26%,-6%,N/A,N/A,-28%,+19%
Cumberland County,-62%,N/A,N/A,N/A,-38%,N/A
Danville,-38%,+2%,N/A,-28%,-28%,+15%
Dickenson County,-23%,-16%,N/A,N/A,-46%,N/A
Dinwiddie County,+34%,-26%,N/A,-46%,-17%,+14%
Emporia,-42%,-1%,N/A,-30%,-39%,N/A
Essex County,-25%,-8%,N/A,N/A,-16%,N/A
Fairfax,-61%,-37%,-36%,N/A,-51%,+3%
Fairfax County,-51%,-21%,+14%,-50%,-47%,+19%
Falls Church,-67%,-47%,N/A,N/A,-76%,N/A
Fauquier County,-29%,-27%,N/A,N/A,-25%,+24%
Floyd County,-37%,+6%,N/A,N/A,-47%,N/A
Fluvanna County,-79%,-34%,N/A,N/A,-29%,-1%
Franklin,-22%,-2%,N/A,-13%,-33%,N/A
Franklin County,-24%,+2%,N/A,N/A,-29%,+18%
Frederick County,-35%,-12%,-13%,-29%,-29%,+12%
Fredericksburg,-50%,-24%,+10%,-64%,-38%,+0%
Galax,-27%,+12%,N/A,N/A,-44%,N/A
Giles County,-26%,+16%,N/A,N/A,-15%,N/A
Gloucester County,-24%,-8%,N/A,N/A,-22%,+18%
Goochland County,-44%,-23%,N/A,N/A,-23%,N/A
Grayson County,N/A,N/A,N/A,N/A,-39%,N/A
Greene County,-18%,-18%,N/A,N/A,-29%,N/A
Greensville County,N/A,N/A,N/A,-42%,-37%,N/A
Halifax County,-20%,-7%,N/A,N/A,-24%,+12%
Hampton,-36%,+6%,+49%,-5%,-34%,+12%
Hanover County,-34%,-14%,N/A,-30%,-31%,+23%
Harrisonburg,-52%,-26%,N/A,-31%,-46%,+22%
Henrico County,-44%,-16%,+36%,-69%,-38%,+13%
Henry County,-20%,+3%,N/A,N/A,-26%,+17%
Hopewell,-19%,+0%,N/A,N/A,-28%,+11%
Isle of Wight County,-25%,+9%,N/A,N/A,-24%,+20%
James City County,-59%,+1%,-2%,N/A,-43%,+22%
King George County,-38%,-18%,N/A,-33%,-30%,+0%
King William County,-24%,+3%,N/A,N/A,-22%,N/A
King and Queen County,N/A,N/A,N/A,N/A,-37%,N/A
Lancaster County,-23%,+6%,N/A,N/A,-29%,N/A
Lee County,-34%,+10%,N/A,N/A,-16%,N/A
Lexington,-55%,-21%,N/A,N/A,N/A,N/A
Loudoun County,-49%,-13%,-16%,-82%,-44%,+17%
Louisa County,-16%,-6%,N/A,N/A,-25%,+18%
Lunenburg County,N/A,-4%,N/A,N/A,-36%,N/A
Lynchburg,-46%,-9%,N/A,+9%,-39%,+19%
Madison County,-48%,-27%,N/A,N/A,-44%,N/A
Manassas,-35%,-2%,N/A,-56%,-35%,+25%
Manassas Park,-60%,-11%,N/A,N/A,-39%,N/A
Martinsville,-38%,+8%,N/A,N/A,-22%,N/A
Mathews County,-62%,+2%,N/A,N/A,-38%,N/A
Mecklenburg County,-22%,+4%,+4%,-38%,-20%,+5%
Middlesex County,-43%,+1%,N/A,N/A,-36%,N/A
Montgomery County,-52%,-3%,N/A,-27%,-40%,+26%
Nelson County,-53%,-3%,N/A,N/A,-35%,N/A
New Kent County,-38%,-10%,N/A,-36%,-31%,N/A
Newport News,-39%,-5%,+49%,-26%,-34%,+11%
Norfolk,-42%,-2%,+5%,-52%,-35%,+11%
Northampton County,-32%,-33%,N/A,N/A,-14%,N/A
Northumberland County,-13%,-17%,N/A,N/A,-29%,N/A
Norton,-44%,N/A,N/A,N/A,N/A,N/A
