X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
US/2020-04-11_Wisconsin,-47%,-2%,+67%,-34%,-33%,+13%
Adams County,-43%,+1%,N/A,N/A,-37%,N/A
Ashland County,-38%,-15%,N/A,N/A,-24%,N/A
Barron County,-42%,-5%,N/A,N/A,-29%,+19%
Bayfield County,-70%,-28%,N/A,N/A,-48%,N/A
Brown County,-50%,-1%,+106%,-71%,-36%,+13%
Buffalo County,-48%,-12%,N/A,N/A,-33%,N/A
Burnett County,-35%,+0%,N/A,N/A,-37%,N/A
Calumet County,-64%,+1%,+193%,N/A,-36%,+27%
Chippewa County,-41%,+9%,N/A,N/A,-26%,+21%
Clark County,-56%,-7%,N/A,N/A,-18%,+17%
Columbia County,-49%,+1%,N/A,-31%,-31%,+22%
Crawford County,-33%,+3%,N/A,N/A,-21%,N/A
Dane County,-63%,-12%,+42%,-56%,-39%,+15%
Dodge County,-31%,+1%,-9%,N/A,-28%,+11%
Door County,-48%,-19%,N/A,N/A,-29%,-2%
Douglas County,-41%,-8%,N/A,N/A,-32%,+22%
Dunn County,-38%,-6%,N/A,-23%,-22%,+20%
Eau Claire County,-58%,-10%,+18%,-9%,-29%,+12%
Florence County,-73%,N/A,N/A,N/A,N/A,N/A
Fond du Lac County,-44%,-9%,+72%,-19%,-27%,+11%
Forest County,-65%,N/A,N/A,N/A,-49%,N/A
Grant County,-39%,+12%,N/A,N/A,-25%,+20%
Green County,-45%,+15%,N/A,N/A,-28%,+23%
Green Lake County,-23%,-5%,N/A,N/A,-22%,N/A
Iowa County,-39%,+3%,N/A,N/A,-31%,+2%
Iron County,-70%,N/A,N/A,N/A,-42%,N/A
Jackson County,-64%,+85%,N/A,-23%,-29%,N/A
Jefferson County,-42%,+13%,-11%,-46%,-29%,+11%
Juneau County,-53%,-1%,N/A,-18%,-30%,+13%
Kenosha County,-49%,-6%,+41%,-41%,-32%,+12%
Kewaunee County,-51%,-9%,N/A,N/A,-29%,N/A
La Crosse County,-53%,-10%,+72%,-8%,-36%,+14%
Lafayette County,-62%,+10%,N/A,N/A,-25%,N/A
Langlade County,-35%,-13%,N/A,N/A,-26%,N/A
Lincoln County,-56%,+18%,N/A,N/A,-28%,+13%
Manitowoc County,-42%,+3%,+81%,N/A,-28%,+12%
Marathon County,-51%,-10%,+11%,N/A,-32%,+11%
Marinette County,-43%,-13%,-15%,N/A,-27%,+14%
Marquette County,-46%,+5%,N/A,N/A,-25%,N/A
Milwaukee County,-47%,-1%,+49%,-41%,-36%,+13%
Monroe County,-37%,-11%,N/A,-22%,-29%,+19%
Oconto County,-43%,+1%,-58%,N/A,-20%,+16%
Oneida County,-51%,-22%,-22%,N/A,-27%,+18%
Outagamie County,-58%,-7%,+80%,-43%,-35%,+13%
Ozaukee County,-50%,-10%,+131%,N/A,-37%,+28%
Pepin County,-36%,N/A,N/A,N/A,-33%,N/A
Pierce County,-50%,+0%,N/A,N/A,-33%,+24%
Polk County,-33%,+10%,+86%,N/A,-32%,+22%
Portage County,-48%,-5%,+29%,N/A,-38%,+24%
Price County,-36%,-19%,N/A,N/A,-41%,N/A
Racine County,-38%,+0%,+68%,-13%,-33%,+12%
Richland County,-35%,N/A,N/A,N/A,-23%,N/A
Rock County,-41%,+6%,+84%,-24%,-33%,+11%
Rusk County,-43%,-17%,N/A,N/A,-42%,N/A
Sauk County,-58%,-1%,+1%,-36%,-45%,+23%
Sawyer County,-42%,-20%,N/A,N/A,-47%,N/A
Shawano County,-44%,-2%,N/A,N/A,-33%,+19%
Sheboygan County,-42%,+8%,+85%,-4%,-31%,+14%
St. Croix County,-43%,-5%,-38%,-35%,-32%,+26%
Taylor County,-35%,+10%,N/A,N/A,-16%,N/A
Trempealeau County,-54%,-3%,N/A,N/A,-24%,+16%
Vernon County,-50%,-14%,N/A,N/A,-19%,+4%
Vilas County,-78%,-26%,-46%,N/A,-39%,N/A
Walworth County,-35%,+12%,+54%,N/A,-34%,+12%
Washburn County,-28%,-40%,N/A,N/A,-28%,N/A
Washington County,-34%,+2%,+92%,-33%,-32%,+13%
Waukesha County,-48%,+4%,+89%,-5%,-35%,+14%
Waupaca County,-31%,+13%,-25%,N/A,-24%,+21%
Waushara County,-41%,+7%,N/A,N/A,-25%,+4%
Winnebago County,-45%,-1%,+141%,-20%,-30%,+12%
Wood County,-33%,-1%,N/A,N/A,-25%,+11%
