X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
West,-38%,-5%,+12%,-39%,-31%,+10%
Barbour County,-49%,-1%,N/A,N/A,-20%,N/A
Berkeley County,-34%,-6%,-18%,-63%,-32%,+11%
Boone County,-40%,+8%,N/A,N/A,-28%,N/A
Braxton County,-41%,N/A,N/A,-45%,-47%,N/A
Brooke County,-35%,-4%,N/A,N/A,-32%,N/A
Cabell County,-50%,-7%,N/A,-45%,-37%,+10%
Fayette County,-32%,+3%,N/A,N/A,-30%,+7%
Grant County,-46%,+4%,N/A,N/A,-43%,N/A
Greenbrier County,-47%,-14%,N/A,N/A,-40%,+0%
Hampshire County,-38%,+0%,N/A,N/A,-28%,N/A
Hancock County,-39%,-27%,N/A,N/A,-40%,+10%
Hardy County,-53%,-14%,N/A,N/A,-38%,N/A
Harrison County,-45%,-6%,-43%,-62%,-30%,+20%
Jackson County,-29%,-18%,N/A,-40%,-21%,N/A
Jefferson County,-33%,-30%,-6%,N/A,-42%,+23%
Kanawha County,-43%,-2%,-38%,-43%,-33%,+11%
Lewis County,-39%,-18%,N/A,-55%,-36%,N/A
Lincoln County,N/A,N/A,N/A,N/A,-44%,N/A
Logan County,-34%,+2%,N/A,N/A,-27%,N/A
Marion County,-37%,+4%,N/A,N/A,-27%,+21%
Marshall County,-35%,-20%,N/A,N/A,-30%,+1%
Mason County,-39%,+11%,N/A,N/A,-24%,N/A
McDowell County,N/A,+13%,N/A,N/A,-33%,N/A
Mercer County,-36%,+3%,-42%,-45%,-26%,+19%
Mineral County,-40%,-4%,N/A,N/A,-19%,-2%
Mingo County,-63%,N/A,N/A,N/A,-49%,N/A
Monongalia County,-52%,-19%,-14%,-47%,-39%,+26%
Monroe County,N/A,N/A,N/A,N/A,-47%,N/A
Morgan County,-32%,-7%,N/A,N/A,-33%,N/A
Nicholas County,-37%,+7%,N/A,N/A,-32%,N/A
Ohio County,-54%,+14%,-36%,-23%,-37%,+15%
Pleasants County,-50%,N/A,N/A,N/A,-57%,N/A
Pocahontas County,-74%,N/A,-33%,N/A,-61%,N/A
Preston County,-38%,-16%,N/A,N/A,-25%,N/A
Putnam County,-35%,-6%,N/A,-25%,-35%,+18%
Raleigh County,-39%,-12%,N/A,-40%,-28%,+18%
Randolph County,-33%,-1%,N/A,N/A,-16%,N/A
Ritchie County,-26%,N/A,N/A,N/A,-52%,N/A
Roane County,-8%,N/A,N/A,N/A,-44%,N/A
Summers County,+14%,N/A,N/A,N/A,-46%,N/A
Taylor County,-18%,+2%,N/A,N/A,-19%,N/A
Tucker County,N/A,-14%,N/A,N/A,-37%,N/A
Tyler County,N/A,N/A,N/A,N/A,-40%,N/A
Upshur County,-26%,-19%,N/A,N/A,-23%,N/A
Wayne County,-3%,-6%,N/A,N/A,-30%,+0%
Webster County,N/A,N/A,N/A,N/A,-49%,N/A
Wetzel County,-42%,-8%,N/A,N/A,-22%,N/A
Wirt County,N/A,N/A,N/A,N/A,-53%,N/A
Wood County,-45%,-6%,-6%,N/A,-26%,+10%
Wyoming County,-66%,N/A,N/A,N/A,-42%,N/A
