Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
Alaska,-41%,-4%,+36%,-52%,-32%,+10%
Anchorage,-45%,-4%,+29%,-54%,-40%,+13%
Bethel,N/A,-23%,N/A,N/A,-25%,N/A
Fairbanks North Star,-39%,-10%,N/A,-72%,-33%,+21%
Juneau,-52%,-24%,-34%,-56%,-34%,-1%
Kenai Peninsula Borough,-34%,-8%,N/A,N/A,-24%,+14%
Ketchikan Gateway,-32%,-38%,N/A,N/A,-37%,N/A
Kodiak Island,-50%,N/A,N/A,N/A,-27%,N/A
Matanuska-Susitna,-29%,-2%,N/A,N/A,-30%,+9%
North Slope,N/A,N/A,N/A,N/A,-12%,N/A
Sitka,-59%,N/A,N/A,N/A,-29%,N/A
Southeast Fairbanks,N/A,N/A,N/A,N/A,-35%,N/A
Valdez-Cordova,N/A,-12%,N/A,N/A,-30%,N/A
